# Current_Dump_NR.csv run at 2000-01-01 00:00:00 EST on 14 links
link_name,currA_real,currA_imag,currB_real,currB_imag,currC_real,currC_imag
line_632-645,0.000000,0.000000,-113.763652,-86.788938,34.741365,55.227675
line_645-646,0.000000,0.000000,-34.742503,-55.228597,34.742502,55.228067
line_630-632,494.366133,-265.859260,-322.084552,-261.483290,-46.589509,583.283391
line_632-6321,430.055480,-216.096055,-151.207724,-152.870709,-91.734750,466.304635
line_6321-671,425.558008,-213.105430,-133.359143,-143.303481,-93.603167,429.098114
line_671-680,-0.000040,0.003582,0.002625,-0.002277,-0.002613,-0.001475
line_671-684,49.041652,-39.823368,0.000000,0.000000,-43.191090,60.348000
line_684-611,0.000000,0.000000,0.000000,0.000000,-43.190512,60.348396
line_684-652,49.041485,-39.824048,0.000000,0.000000,0.000000,0.000000
line_692-675,204.468422,-18.322321,39.661896,-57.128661,-46.150081,114.796429
line_632-633,64.311111,-49.770721,-57.118618,-21.819180,10.409192,61.754506
switch_671-692,221.709821,-70.190020,39.661896,-57.128661,-63.391480,166.664120
transformer_633-634,64.310924,-49.772356,-57.119783,-21.818356,10.410451,61.755399
fregn650n630,525.264018,-282.475458,-338.188779,-274.557450,-49.792538,623.384130
