# Current_Dump_NR_o.csv run at 2013-12-31 19:00:00 EST on 14 links
link_name,currA_real,currA_imag,currB_real,currB_imag,currC_real,currC_imag
overhead_line1,0.000000,0.000000,-119.539695,-87.752683,31.577559,53.232106
overhead_line2,0.000000,0.000000,-31.577559,-53.232106,31.577559,53.232106
overhead_line3,506.694308,-276.770344,-357.184392,-265.256686,-47.758485,590.074757
overhead_line4,440.689468,-225.660309,-173.816515,-153.683335,-89.847412,475.037782
overhead_line5,436.076868,-222.591763,-153.949507,-143.192588,-91.781306,437.790388
overhead_line6,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000
overhead_line7,47.718573,-38.843923,0.000000,0.000000,-43.179164,60.463074
overhead_line8,0.000000,0.000000,0.000000,0.000000,-43.179164,60.463074
overhead_line9,47.718573,-38.843923,0.000000,0.000000,0.000000,0.000000
overhead_line10,209.593336,-23.435883,28.059442,-53.730809,-45.696512,115.195832
overhead_line11,66.004840,-51.110035,-63.828181,-23.820669,10.511368,61.804868
switch1,226.834736,-75.303583,28.059442,-53.730809,-62.937913,167.063532
XFMR1,66.004840,-51.110035,-63.828181,-23.820669,10.511368,61.804868
Reg1,526.435645,-287.553604,-340.175611,-252.625415,-50.942384,629.413074
