# Volt_Dump_NR.csv run at 2000-01-01 00:00:00 EST on 16 nodes
node_name,voltA_real,voltA_imag,voltB_real,voltB_imag,voltC_real,voltC_imag
n633,2442.768946,-108.917144,-1314.774385,-2123.156537,-1137.360904,2159.061052
n630,2551.838732,0.026586,-1260.900822,-2183.973852,-1283.445032,2222.941672
n632,2450.161217,-106.481186,-1315.482398,-2128.070075,-1140.431967,2164.524350
n650,2401.777100,0.000000,-1200.888600,-2080.000000,-1200.888600,2080.000000
n680,2368.075658,-219.431688,-1352.198696,-2135.102155,-1029.626404,2117.237723
n684,2363.397757,-219.798790,0.000000,0.000000,-1023.359496,2115.172929
l634,275.057385,-15.517525,-150.938163,-239.458857,-126.758750,245.578036
l645,0.000000,0.000000,-1310.509926,-2105.222762,-1139.238761,2159.780983
l646,0.000000,0.000000,-1311.079735,-2099.946493,-1138.627013,2154.502951
l652,2353.975434,-214.236968,0.000000,0.000000,0.000000,0.000000
l671,2368.075479,-219.431610,-1352.198541,-2135.102033,-1029.626367,2117.237534
l675,2351.552333,-228.229467,-1361.832318,-2135.753903,-1028.159937,2112.873577
l692,2368.067903,-219.417015,-1352.197668,-2135.097194,-1029.631531,2117.226031
l611,0.000000,0.000000,0.000000,0.000000,-1015.478130,2113.920236
l6711,2368.075479,-219.431610,-1352.198541,-2135.102033,-1029.626367,2117.237534
l6321,2430.268292,-134.702205,-1324.105247,-2128.854315,-1110.248715,2152.153810
