# Volt_Dump_NR_o.csv run at 2013-12-31 19:00:00 EST on 16 nodes,,,,,,,,original,,,,,,,
node_name,voltA_real,voltA_imag,voltB_real,voltB_imag,voltC_real,voltC_imag,,p.u. to V,angle,v_A_mag,v_A_angle,v_B_mag,v_B_angle,v_C_mag,v_C_angle
Node633,2382.674399,-105.364226,-1196.12746,-1906.767277,-1133.109687,2158.517683,,2401.771,,1.018,-2.49,1.04,-121.77,1.015,117.82
Node630,2495.302162,0.027677,-1143.66771,-1980.925855,-1280.943064,2218.607659,,2401.771,,,,,,,
Node632,2390.316192,-103.127718,-1197.004495,-1912.531457,-1136.11526,2163.78319,,2401.771,,1.021,-2.49,1.042,-121.72,1.017,117.83
Node650,2401.7771,0,-1200.8886,-2080,-1200.8886,2080,,2401.771,,1,0,1,-120,1,120
Node680,2305.690905,-215.697729,-1232.339656,-1913.392468,-1023.083962,2116.610131,,2401.771,,0.99,-5.3,1.053,-122.34,0.978,116.02
Node684,2301.191092,-216.038255,0,0,-1016.768089,2114.558972,,2401.771,,0.988,-5.32,0,0,0.976,115.92
Load634,267.942142,-15.184106,-137.113365,-213.867092,-126.268707,245.505106,,2401.771,,0.944,-3.23,1.022,-122.22,0.996,117.34
Load645,0,0,-1191.452787,-1888.649414,-1134.710755,2159.966593,,2401.771,,0,0,1.033,-121.9,1.015,117.86
Load646,0,0,-1192.123809,-1883.660202,-1133.999892,2154.976728,,2401.771,,0,0,1.031,-121.98,1.013,117.9
Load652,2292.020635,-210.61237,0,0,0,0,,2401.771,,0.983,-5.25,0,0,0,0
Load671,2305.690905,-215.697729,-1232.339656,-1913.392468,-1023.083962,2116.610131,,2401.771,,0.99,-5.3,1.053,-122.34,0.978,116.02
Load675,2288.913075,-224.402567,-1241.15993,-1913.729887,-1021.404918,2112.275708,,2401.771,,0.983,-5.56,1.055,-122.52,0.976,116.03
Load692,2305.683328,-215.682622,-1232.338372,-1913.388378,-1023.089168,2116.598631,,2401.771,,0.99,-5.31,1.053,-122.34,0.978,116.02
Load611,0,0,0,0,-1008.878793,2113.296779,,2401.771,,0,0,0,0,0.974,115.78
Load6711,2305.690905,-215.697729,-1232.339656,-1913.392468,-1023.083962,2116.610131,,2401.771,,,,,,,
Load6321,2369.769789,-131.180294,-1205.306042,-1911.606044,-1105.381034,2151.497873,,2401.771,,,,,,,
,,,,,,,,,,,,,,,
,v_A_real,v_A_imaginary,v_B_real,v_B_imaginary,v_C_real,v_C_imaginary,,,,,,,,,
Node633,2442.694354,-106.2231987,-1315.140507,-2123.586425,-1137.708883,2156.032343,,,,,,,,,
Node630,0,0,0,0,0,0,,,,,,,,,
Node632,2449.892864,-106.5362336,-1315.812379,-2128.819318,-1140.327696,2160.081691,,,,,,,,,
Node650,2401.771,0,-1200.8855,-2079.9947,-1200.8855,2079.9947,,,,,,,,,
Node680,2367.587677,-219.6344682,-1352.903833,-2136.778018,-1030.440918,2110.846568,,,,,,,,,
Node684,2362.728016,-220.0155233,0,0,-1024.655525,2108.32148,,,,,,,,,
Load634,2263.670034,-127.7477978,-1308.728372,-2076.617469,-1098.648678,2124.951596,,,,,,,,,
Load645,0,0,-1311.071067,-2106.323753,-1139.2138,2155.237547,,,,,,,,,
Load646,0,0,-1311.466704,-2100.416577,-1138.470441,2150.196496,,,,,,,,,
Load652,2351.036575,-216.0299133,0,0,0,0,,,,,,,,,
Load671,2367.587677,-219.6344682,-1352.903833,-2136.778018,-1030.440918,2110.846568,,,,,,,,,
Load675,2349.833335,-228.7470212,-1362.192387,-2136.567573,-1028.70132,2106.350398,,,,,,,,,
Load692,2367.549308,-220.0476869,-1352.903833,-2136.778018,-1030.440918,2110.846568,,,,,,,,,
Load611,0,0,0,0,-1017.411729,2106.493441,,,,,,,,,
Load6711,0,0,0,0,0,0,,,,,,,,,
Load6321,0,0,0,0,0,0,,,,,,,,,
