# file...... load_powerA_pv.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# date...... Sat Sep 16 15:58:54 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# user...... ericlinxie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# host...... (null),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# group..... class=load,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# property.. power_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# limit..... 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# interval.. 0,,,,,,,,,,,load B,,,,,,,,,,load C,,,,,,,,,
# timestamp,l634,l645,l646,l652,l671,l675,l692,l611,l6711,l6321,l634,l645,l646,l652,l671,l675,l692,l611,l6711,l6321,l634,l645,l646,l652,l671,l675,l692,l611,l6711,l6321
2000-08-02 00:00:00 HDT,+160000+110000j,+0+0j,+0+0j,+0+0j,+385000+220000j,+485000+190000j,+0+0j,+0+0j,+5666.67+3333.33j,+11333.3+6666.67j,+120000+90000j,+170000+125000j,+0+0j,+0+0j,+385000+220000j,+68000+60000j,+0+0j,+0+0j,+22000+12666.7j,+44000+25333.3j,+120000+90000j,+0+0j,+0+0j,+0+0j,+385000+220000j,+290000+212000j,+0+0j,+0+0j,+39000+22666.7j,+78000+45333.3j
2000-08-02 01:00:00 HDT,+160000+110000j,+0+0j,+0+0j,+0+0j,+385000+220000j,+485000+190000j,+0+0j,+0+0j,+5666.67+3333.33j,+11333.3+6666.67j,+120000+90000j,+170000+125000j,+0+0j,+0+0j,+385000+220000j,+68000+60000j,+0+0j,+0+0j,+22000+12666.7j,+44000+25333.3j,+120000+90000j,+0+0j,+0+0j,+0+0j,+385000+220000j,+290000+212000j,+0+0j,+0+0j,+39000+22666.7j,+78000+45333.3j
2000-08-02 02:00:00 HDT,+160000+110000j,+0+0j,+0+0j,+0+0j,+385000+220000j,+485000+190000j,+0+0j,+0+0j,+5666.67+3333.33j,+11333.3+6666.67j,+120000+90000j,+170000+125000j,+0+0j,+0+0j,+385000+220000j,+68000+60000j,+0+0j,+0+0j,+22000+12666.7j,+44000+25333.3j,+120000+90000j,+0+0j,+0+0j,+0+0j,+385000+220000j,+290000+212000j,+0+0j,+0+0j,+39000+22666.7j,+78000+45333.3j
2000-08-02 03:00:00 HDT,+160000+110000j,+0+0j,+0+0j,+0+0j,+385000+220000j,+485000+190000j,+0+0j,+0+0j,+5666.67+3333.33j,+11333.3+6666.67j,+120000+90000j,+170000+125000j,+0+0j,+0+0j,+385000+220000j,+68000+60000j,+0+0j,+0+0j,+22000+12666.7j,+44000+25333.3j,+120000+90000j,+0+0j,+0+0j,+0+0j,+385000+220000j,+290000+212000j,+0+0j,+0+0j,+39000+22666.7j,+78000+45333.3j
2000-08-02 04:00:00 HDT,+160000+110000j,+0+0j,+0+0j,+0+0j,+385000+220000j,+485000+190000j,+0+0j,+0+0j,+5666.67+3333.33j,+11333.3+6666.67j,+120000+90000j,+170000+125000j,+0+0j,+0+0j,+385000+220000j,+68000+60000j,+0+0j,+0+0j,+22000+12666.7j,+44000+25333.3j,+120000+90000j,+0+0j,+0+0j,+0+0j,+385000+220000j,+290000+212000j,+0+0j,+0+0j,+39000+22666.7j,+78000+45333.3j
2000-08-02 05:00:00 HDT,+160000+110000j,+0+0j,+0+0j,+0+0j,+385000+220000j,+485000+190000j,+0+0j,+0+0j,+5666.67+3333.33j,+11333.3+6666.67j,+120000+90000j,+170000+125000j,+0+0j,+0+0j,+385000+220000j,+68000+60000j,+0+0j,+0+0j,+22000+12666.7j,+44000+25333.3j,+120000+90000j,+0+0j,+0+0j,+0+0j,+385000+220000j,+290000+212000j,+0+0j,+0+0j,+39000+22666.7j,+78000+45333.3j
2000-08-02 06:00:00 HDT,+160000+110000j,+0+0j,+0+0j,+0+0j,+385000+220000j,+485000+190000j,+0+0j,+0+0j,+5666.67+3333.33j,+11333.3+6666.67j,+120000+90000j,+170000+125000j,+0+0j,+0+0j,+385000+220000j,+68000+60000j,+0+0j,+0+0j,+22000+12666.7j,+44000+25333.3j,+120000+90000j,+0+0j,+0+0j,+0+0j,+385000+220000j,+290000+212000j,+0+0j,+0+0j,+39000+22666.7j,+78000+45333.3j
2000-08-02 07:00:00 HDT,+160000+110000j,+0+0j,+0+0j,+0+0j,+385000+220000j,+485000+190000j,+0+0j,+0+0j,+5666.67+3333.33j,+11333.3+6666.67j,+120000+90000j,+170000+125000j,+0+0j,+0+0j,+385000+220000j,+68000+60000j,+0+0j,+0+0j,+22000+12666.7j,+44000+25333.3j,+120000+90000j,+0+0j,+0+0j,+0+0j,+385000+220000j,+290000+212000j,+0+0j,+0+0j,+39000+22666.7j,+78000+45333.3j
2000-08-02 08:00:00 HDT,+160000+110000j,+0+0j,+0+0j,+0+0j,+385000+220000j,+485000+190000j,+0+0j,+0+0j,+5666.67+3333.33j,+11333.3+6666.67j,+120000+90000j,+170000+125000j,+0+0j,+0+0j,+385000+220000j,+68000+60000j,+0+0j,+0+0j,+22000+12666.7j,+44000+25333.3j,+120000+90000j,+0+0j,+0+0j,+0+0j,+385000+220000j,+290000+212000j,+0+0j,+0+0j,+39000+22666.7j,+78000+45333.3j
2000-08-02 09:00:00 HDT,+160000+110000j,+0+0j,+0+0j,+0+0j,+385000+220000j,+485000+190000j,+0+0j,+0+0j,+5666.67+3333.33j,+11333.3+6666.67j,+120000+90000j,+170000+125000j,+0+0j,+0+0j,+385000+220000j,+68000+60000j,+0+0j,+0+0j,+22000+12666.7j,+44000+25333.3j,+120000+90000j,+0+0j,+0+0j,+0+0j,+385000+220000j,+290000+212000j,+0+0j,+0+0j,+39000+22666.7j,+78000+45333.3j
