# file...... switch_power_loss_pv.csv
# date...... Sun Sep 17 16:44:52 2017
# user...... ericlinxie
# host...... (null)
# group..... class=switch
# property.. power_losses
# limit..... 0
# interval.. 0
# timestamp,switch_671-692
2000-08-02 00:00:00 HDT,+4.5357-4.5357i
2000-08-02 01:00:00 HDT,+4.5357-4.5357i
2000-08-02 02:00:00 HDT,+4.5357-4.5357i
2000-08-02 03:00:00 HDT,+4.5357-4.5357i
2000-08-02 04:00:00 HDT,+4.5357-4.5357i
2000-08-02 05:00:00 HDT,+4.5357-4.5357i
2000-08-02 06:00:00 HDT,+4.47573-4.47573i
2000-08-02 07:00:00 HDT,+4.30317-4.30317i
2000-08-02 08:00:00 HDT,+4.23455-4.23455i
2000-08-02 09:00:00 HDT,+4.0402-4.0402i
2000-08-02 10:00:00 HDT,+3.89244-3.89244i
2000-08-02 11:00:00 HDT,+3.90516-3.90516i
2000-08-02 12:00:00 HDT,+3.53854-3.53854i
2000-08-02 13:00:00 HDT,+3.7058-3.7058i
2000-08-02 14:00:00 HDT,+3.6702-3.6702i
2000-08-02 15:00:00 HDT,+3.79713-3.79713i
2000-08-02 16:00:00 HDT,+3.8093-3.8093i
2000-08-02 17:00:00 HDT,+4.03078-4.03078i
2000-08-02 18:00:00 HDT,+4.46257-4.46257i
2000-08-02 19:00:00 HDT,+4.5357-4.5357i
2000-08-02 20:00:00 HDT,+4.5357-4.5357i
2000-08-02 21:00:00 HDT,+4.5357-4.5357i
2000-08-02 22:00:00 HDT,+4.5357-4.5357i
2000-08-02 23:00:00 HDT,+4.5357-4.5357i
2000-08-03 00:00:00 HDT,+4.5357-4.5357i
