# file...... time_results/line_in_A_pv/regulator_power_loss.csv
# date...... Sun Dec 10 19:41:19 2017
# user...... ericlinxie
# host...... (null)
# group..... class=regulator
# property.. current_in_A
# limit..... 0
# interval.. 0
# timestamp,fregm650m630
2000-08-02 00:00:00 HDT,+525.264-282.475j
2000-08-02 01:00:00 HDT,+525.264-282.475j
2000-08-02 02:00:00 HDT,+525.264-282.475j
2000-08-02 03:00:00 HDT,+525.264-282.475j
2000-08-02 04:00:00 HDT,+525.264-282.475j
2000-08-02 05:00:00 HDT,+525.264-282.475j
2000-08-02 06:00:00 HDT,+462.023-269.829j
2000-08-02 07:00:00 HDT,+273.562-236.146j
2000-08-02 08:00:00 HDT,+179.594-233.242j
2000-08-02 09:00:00 HDT,-61.5082-211.495j
2000-08-02 10:00:00 HDT,-286.916-224.754j
2000-08-02 11:00:00 HDT,-313.726-259.859j
2000-08-02 12:00:00 HDT,-817.125-258.812j
2000-08-02 13:00:00 HDT,+513.414-296.491j
2000-08-02 14:00:00 HDT,-792.24+245.22j
2000-08-02 15:00:00 HDT,+502.693-321.734j
2000-08-02 16:00:00 HDT,-543.778+234.055j
2000-08-02 17:00:00 HDT,+516.13-309.124j
2000-08-02 18:00:00 HDT,+423.722-243.585j
2000-08-02 19:00:00 HDT,+525.264-282.475j
2000-08-02 20:00:00 HDT,+525.264-282.475j
2000-08-02 21:00:00 HDT,+525.264-282.475j
2000-08-02 22:00:00 HDT,+525.264-282.475j
2000-08-02 23:00:00 HDT,+525.264-282.475j
2000-08-03 00:00:00 HDT,+525.264-282.475j
