# file...... time_results/line_in_A_pv/switch_power_loss.csv
# date...... Sun Dec 10 19:41:19 2017
# user...... ericlinxie
# host...... (null)
# group..... class=switch
# property.. current_in_A
# limit..... 0
# interval.. 0
# timestamp,switch_671-692
2000-08-02 00:00:00 HDT,+221.71-70.19i
2000-08-02 01:00:00 HDT,+221.71-70.19i
2000-08-02 02:00:00 HDT,+221.71-70.19i
2000-08-02 03:00:00 HDT,+221.71-70.19i
2000-08-02 04:00:00 HDT,+221.71-70.19i
2000-08-02 05:00:00 HDT,+221.71-70.19i
2000-08-02 06:00:00 HDT,+220.689-66.7989i
2000-08-02 07:00:00 HDT,+217.436-57.0345i
2000-08-02 08:00:00 HDT,+216.002-52.6032i
2000-08-02 09:00:00 HDT,+211.483-41.2349i
2000-08-02 10:00:00 HDT,+207.424-31.5346i
2000-08-02 11:00:00 HDT,+207.547-30.721i
2000-08-02 12:00:00 HDT,+195.924-10.1036i
2000-08-02 13:00:00 HDT,+210.803-97.197i
2000-08-02 14:00:00 HDT,+195.199-6.65096i
2000-08-02 15:00:00 HDT,+211.604-114.633i
2000-08-02 16:00:00 HDT,+197.863-17.369i
2000-08-02 17:00:00 HDT,+218.69-100.922i
2000-08-02 18:00:00 HDT,+220.905-64.5243i
2000-08-02 19:00:00 HDT,+221.71-70.19i
2000-08-02 20:00:00 HDT,+221.71-70.19i
2000-08-02 21:00:00 HDT,+221.71-70.19i
2000-08-02 22:00:00 HDT,+221.71-70.19i
2000-08-02 23:00:00 HDT,+221.71-70.19i
2000-08-03 00:00:00 HDT,+221.71-70.19i
