# file...... time_results/line_in_A_pv/underground_line_losses.csv
# date...... Sun Dec 10 19:41:19 2017
# user...... ericlinxie
# host...... (null)
# group..... class=underground_line
# property.. current_in_A
# limit..... 0
# interval.. 0
# timestamp,line_684-652,line_692-675
2000-08-02 00:00:00 HDT,+49.0415-39.824j,+204.468-18.3223j
2000-08-02 01:00:00 HDT,+49.0415-39.824j,+204.468-18.3223j
2000-08-02 02:00:00 HDT,+49.0415-39.824j,+204.468-18.3223j
2000-08-02 03:00:00 HDT,+49.0415-39.824j,+204.468-18.3223j
2000-08-02 04:00:00 HDT,+49.0415-39.824j,+204.468-18.3223j
2000-08-02 05:00:00 HDT,+49.0415-39.824j,+204.468-18.3223j
2000-08-02 06:00:00 HDT,+49.7852-39.5308j,+203.448-14.9312j
2000-08-02 07:00:00 HDT,+51.97-38.6306j,+200.194-5.16679j
2000-08-02 08:00:00 HDT,+52.964-38.1063j,+198.761-0.735538j
2000-08-02 09:00:00 HDT,+55.6122-36.8248j,+194.241+10.6328j
2000-08-02 10:00:00 HDT,+57.8976-35.4471j,+190.183+20.3331j
2000-08-02 11:00:00 HDT,+58.0155-35.102j,+190.305+21.1467j
2000-08-02 12:00:00 HDT,+63.2954-32.16j,+178.682+41.7641j
2000-08-02 13:00:00 HDT,+43.0563-48.9829j,+193.562-45.3293j
2000-08-02 14:00:00 HDT,+63.8531-30.8716j,+177.957+45.2167j
2000-08-02 15:00:00 HDT,+39.0044-50.0784j,+194.362-62.765j
2000-08-02 16:00:00 HDT,+61.8511-34.4853j,+180.621+34.4987j
2000-08-02 17:00:00 HDT,+42.5079-45.8828j,+201.449-49.0547j
2000-08-02 18:00:00 HDT,+50.2162-38.9473j,+203.663-12.6566j
2000-08-02 19:00:00 HDT,+49.0415-39.824j,+204.468-18.3223j
2000-08-02 20:00:00 HDT,+49.0415-39.824j,+204.468-18.3223j
2000-08-02 21:00:00 HDT,+49.0415-39.824j,+204.468-18.3223j
2000-08-02 22:00:00 HDT,+49.0415-39.824j,+204.468-18.3223j
2000-08-02 23:00:00 HDT,+49.0415-39.824j,+204.468-18.3223j
2000-08-03 00:00:00 HDT,+49.0415-39.824j,+204.468-18.3223j
