# file...... time_results/line_in_B_pv/regulator_power_loss.csv
# date...... Sun Dec 10 19:41:19 2017
# user...... ericlinxie
# host...... (null)
# group..... class=regulator
# property.. current_in_B
# limit..... 0
# interval.. 0
# timestamp,fregm650m630
2000-08-02 00:00:00 HDT,-338.189-274.557j
2000-08-02 01:00:00 HDT,-338.189-274.557j
2000-08-02 02:00:00 HDT,-338.189-274.557j
2000-08-02 03:00:00 HDT,-338.189-274.557j
2000-08-02 04:00:00 HDT,-338.189-274.557j
2000-08-02 05:00:00 HDT,-338.189-274.557j
2000-08-02 06:00:00 HDT,-303.25-226.792j
2000-08-02 07:00:00 HDT,-201.207-81.9892j
2000-08-02 08:00:00 HDT,-158.331+0.614421j
2000-08-02 09:00:00 HDT,-41.5945+201.531j
2000-08-02 10:00:00 HDT,+43.5327+416.957j
2000-08-02 11:00:00 HDT,+21.9856+473.666j
2000-08-02 12:00:00 HDT,+223.339+934.039j
2000-08-02 13:00:00 HDT,+86.9703+947.695j
2000-08-02 14:00:00 HDT,-329.864-294.678j
2000-08-02 15:00:00 HDT,+525.509+684.337j
2000-08-02 16:00:00 HDT,-329.365-292.099j
2000-08-02 17:00:00 HDT,+182.282+346.162j
2000-08-02 18:00:00 HDT,-338.194-276.013j
2000-08-02 19:00:00 HDT,-338.189-274.557j
2000-08-02 20:00:00 HDT,-338.189-274.557j
2000-08-02 21:00:00 HDT,-338.189-274.557j
2000-08-02 22:00:00 HDT,-338.189-274.557j
2000-08-02 23:00:00 HDT,-338.189-274.557j
2000-08-03 00:00:00 HDT,-338.189-274.557j
