# file...... time_results/line_in_C_pv/regulator_power_loss.csv
# date...... Sun Dec 10 19:41:19 2017
# user...... ericlinxie
# host...... (null)
# group..... class=regulator
# property.. current_in_C
# limit..... 0
# interval.. 0
# timestamp,fregm650m630
2000-08-02 00:00:00 HDT,-49.7925+623.384j
2000-08-02 01:00:00 HDT,-49.7925+623.384j
2000-08-02 02:00:00 HDT,-49.7925+623.384j
2000-08-02 03:00:00 HDT,-49.7925+623.384j
2000-08-02 04:00:00 HDT,-49.7925+623.384j
2000-08-02 05:00:00 HDT,-49.7925+623.384j
2000-08-02 06:00:00 HDT,-26.85+562.048j
2000-08-02 07:00:00 HDT,+45.0797+381.353j
2000-08-02 08:00:00 HDT,+94.0791+298.898j
2000-08-02 09:00:00 HDT,+207.108+78.5595j
2000-08-02 10:00:00 HDT,+346.536-108.539j
2000-08-02 11:00:00 HDT,+402.443-113.309j
2000-08-02 12:00:00 HDT,+693.688-555.728j
2000-08-02 13:00:00 HDT,+754.241-362.536j
2000-08-02 14:00:00 HDT,+1087.67-345.217j
2000-08-02 15:00:00 HDT,+706.987-190.982j
2000-08-02 16:00:00 HDT,+932.422-134.409j
2000-08-02 17:00:00 HDT,+437.072+42.9761j
2000-08-02 18:00:00 HDT,+22.6771+537.451j
2000-08-02 19:00:00 HDT,-49.7925+623.384j
2000-08-02 20:00:00 HDT,-49.7925+623.384j
2000-08-02 21:00:00 HDT,-49.7925+623.384j
2000-08-02 22:00:00 HDT,-49.7925+623.384j
2000-08-02 23:00:00 HDT,-49.7925+623.384j
2000-08-03 00:00:00 HDT,-49.7925+623.384j
