# file...... time_results/line_out_A_pv/regulator_power_loss.csv
# date...... Sun Dec 10 19:41:19 2017
# user...... ericlinxie
# host...... (null)
# group..... class=regulator
# property.. current_out_A
# limit..... 0
# interval.. 0
# timestamp,fregm650m630
2000-08-02 00:00:00 HDT,+494.366-265.859j
2000-08-02 01:00:00 HDT,+494.366-265.859j
2000-08-02 02:00:00 HDT,+494.366-265.859j
2000-08-02 03:00:00 HDT,+494.366-265.859j
2000-08-02 04:00:00 HDT,+494.366-265.859j
2000-08-02 05:00:00 HDT,+494.366-265.859j
2000-08-02 06:00:00 HDT,+434.845-253.957j
2000-08-02 07:00:00 HDT,+257.47-222.255j
2000-08-02 08:00:00 HDT,+169.029-219.522j
2000-08-02 09:00:00 HDT,-57.89-199.054j
2000-08-02 10:00:00 HDT,-270.039-211.533j
2000-08-02 11:00:00 HDT,-295.271-244.573j
2000-08-02 12:00:00 HDT,-769.059-243.588j
2000-08-02 13:00:00 HDT,+483.213-279.05j
2000-08-02 14:00:00 HDT,-745.638+230.796j
2000-08-02 15:00:00 HDT,+473.123-302.809j
2000-08-02 16:00:00 HDT,-511.791+220.287j
2000-08-02 17:00:00 HDT,+485.77-290.94j
2000-08-02 18:00:00 HDT,+398.797-229.257j
2000-08-02 19:00:00 HDT,+494.366-265.859j
2000-08-02 20:00:00 HDT,+494.366-265.859j
2000-08-02 21:00:00 HDT,+494.366-265.859j
2000-08-02 22:00:00 HDT,+494.366-265.859j
2000-08-02 23:00:00 HDT,+494.366-265.859j
2000-08-03 00:00:00 HDT,+494.366-265.859j
