# file...... time_results/line_out_B_pv/overhead_line_losses.csv
# date...... Sun Dec 10 19:41:19 2017
# user...... ericlinxie
# host...... (null)
# group..... class=overhead_line
# property.. current_out_B
# limit..... 0
# interval.. 0
# timestamp,line_632-645,line_645-646,line_630-632,line_632-6321,line_6321-671,line_671-680,line_671-684,line_684-611,line_632-633
2000-08-02 00:00:00 HDT,-113.765-86.7884j,-34.7432-55.2283j,-322.09-261.479j,-151.209-152.87j,-133.363-143.3j,+1.25039e-12+9.04e-13j,+0+0j,+0+0j,-57.1198-21.8184j
2000-08-02 01:00:00 HDT,-113.765-86.7884j,-34.7432-55.2283j,-322.09-261.479j,-151.209-152.87j,-133.363-143.3j,+7.26671e-13-4.07669e-12j,+0+0j,+0+0j,-57.1198-21.8184j
2000-08-02 02:00:00 HDT,-113.765-86.7884j,-34.7432-55.2283j,-322.09-261.479j,-151.209-152.87j,-133.363-143.3j,-2.44208e-12+1.4078e-13j,+0+0j,+0+0j,-57.1198-21.8184j
2000-08-02 03:00:00 HDT,-113.765-86.7884j,-34.7432-55.2283j,-322.09-261.479j,-151.209-152.87j,-133.363-143.3j,+1.74474e-12-2.12944e-12j,+0+0j,+0+0j,-57.1198-21.8184j
2000-08-02 04:00:00 HDT,-113.765-86.7884j,-34.7432-55.2283j,-322.09-261.479j,-151.209-152.87j,-133.363-143.3j,+5.66456e-12-2.21263e-12j,+0+0j,+0+0j,-57.1198-21.8184j
2000-08-02 05:00:00 HDT,-113.765-86.7884j,-34.7432-55.2283j,-322.09-261.479j,-151.209-152.87j,-133.363-143.3j,-7.77698e-13-5.22915e-13j,+0+0j,+0+0j,-57.1198-21.8184j
2000-08-02 06:00:00 HDT,-113.281-87.4711j,-34.478-55.5309j,-288.815-215.988j,-118.573-106.421j,-100.803-96.7453j,+30.1925+47.6736j,+0+0j,+0+0j,-56.9653-22.0943j
2000-08-02 07:00:00 HDT,-111.809-89.4928j,-33.6732-56.4185j,-191.631-78.0805j,-23.3316+34.3324j,-5.79678+44.3213j,+118.099+191.839j,+0+0j,+0+0j,-56.4945-22.9177j
2000-08-02 08:00:00 HDT,-111.027-90.5331j,-33.2128-56.8115j,-150.797+0.589561j,+16.4947+114.511j,+33.9117+124.68j,+154.498+273.83j,+0+0j,+0+0j,-56.2692-23.3865j
2000-08-02 09:00:00 HDT,-109.023-93.1198j,-32.0846-57.8664j,-39.6194+191.938j,+125.053+309.558j,+142.155+320.146j,+253.727+472.738j,+0+0j,+0+0j,-55.653-24.4977j
