# file...... time_results/line_out_B_pv/regulator_power_loss.csv
# date...... Sun Dec 10 19:41:19 2017
# user...... ericlinxie
# host...... (null)
# group..... class=regulator
# property.. current_out_B
# limit..... 0
# interval.. 0
# timestamp,fregm650m630
2000-08-02 00:00:00 HDT,-322.085-261.483i
2000-08-02 01:00:00 HDT,-322.085-261.483i
2000-08-02 02:00:00 HDT,-322.085-261.483i
2000-08-02 03:00:00 HDT,-322.085-261.483i
2000-08-02 04:00:00 HDT,-322.085-261.483i
2000-08-02 05:00:00 HDT,-322.085-261.483i
2000-08-02 06:00:00 HDT,-288.81-215.993i
2000-08-02 07:00:00 HDT,-191.626-78.0849i
2000-08-02 08:00:00 HDT,-150.792+0.585163i
2000-08-02 09:00:00 HDT,-39.6138+191.934i
2000-08-02 10:00:00 HDT,+41.4598+397.102i
2000-08-02 11:00:00 HDT,+20.9386+451.111i
2000-08-02 12:00:00 HDT,+212.703+889.561i
2000-08-02 13:00:00 HDT,+82.8289+902.566i
2000-08-02 14:00:00 HDT,-314.156-280.646i
2000-08-02 15:00:00 HDT,+500.485+651.75i
2000-08-02 16:00:00 HDT,-313.681-278.19i
2000-08-02 17:00:00 HDT,+173.602+329.678i
2000-08-02 18:00:00 HDT,-322.089-262.87i
2000-08-02 19:00:00 HDT,-322.085-261.483i
2000-08-02 20:00:00 HDT,-322.085-261.483i
2000-08-02 21:00:00 HDT,-322.085-261.483i
2000-08-02 22:00:00 HDT,-322.085-261.483i
2000-08-02 23:00:00 HDT,-322.085-261.483i
2000-08-03 00:00:00 HDT,-322.085-261.483i
