# file...... time_results/line_out_C_pv/regulator_power_loss.csv
# date...... Sun Dec 10 19:41:19 2017
# user...... ericlinxie
# host...... (null)
# group..... class=regulator
# property.. current_out_C
# limit..... 0
# interval.. 0
# timestamp,fregm650m630
2000-08-02 00:00:00 HDT,-46.5895+583.283i
2000-08-02 01:00:00 HDT,-46.5895+583.283i
2000-08-02 02:00:00 HDT,-46.5895+583.283i
2000-08-02 03:00:00 HDT,-46.5895+583.283i
2000-08-02 04:00:00 HDT,-46.5895+583.283i
2000-08-02 05:00:00 HDT,-46.5895+583.283i
2000-08-02 06:00:00 HDT,-25.1228+525.893i
2000-08-02 07:00:00 HDT,+42.1798+356.821i
2000-08-02 08:00:00 HDT,+88.0272+279.671i
2000-08-02 09:00:00 HDT,+193.785+73.5059i
2000-08-02 10:00:00 HDT,+324.244-101.557i
2000-08-02 11:00:00 HDT,+376.555-106.02i
2000-08-02 12:00:00 HDT,+649.065-519.98i
2000-08-02 13:00:00 HDT,+705.723-339.215i
2000-08-02 14:00:00 HDT,+1017.71-323.01i
2000-08-02 15:00:00 HDT,+661.509-178.697i
2000-08-02 16:00:00 HDT,+872.442-125.763i
2000-08-02 17:00:00 HDT,+408.956+40.2115i
2000-08-02 18:00:00 HDT,+21.2184+502.878i
2000-08-02 19:00:00 HDT,-46.5895+583.283i
2000-08-02 20:00:00 HDT,-46.5895+583.283i
2000-08-02 21:00:00 HDT,-46.5895+583.283i
2000-08-02 22:00:00 HDT,-46.5895+583.283i
2000-08-02 23:00:00 HDT,-46.5895+583.283i
2000-08-03 00:00:00 HDT,-46.5895+583.283i
