# file...... time_results/line_out_C_pv/transformer_power_loss.csv
# date...... Sun Dec 10 19:41:19 2017
# user...... ericlinxie
# host...... (null)
# group..... class=transformer
# property.. current_out_C
# limit..... 0
# interval.. 0
# timestamp,transformer_633-634
2000-08-02 00:00:00 HDT,+90.2239+535.213j
2000-08-02 01:00:00 HDT,+90.2239+535.213j
2000-08-02 02:00:00 HDT,+90.2239+535.213j
2000-08-02 03:00:00 HDT,+90.2239+535.213j
2000-08-02 04:00:00 HDT,+90.2239+535.213j
2000-08-02 05:00:00 HDT,+90.2239+535.213j
2000-08-02 06:00:00 HDT,+87.0429+534.01j
2000-08-02 07:00:00 HDT,+77.708+530.534j
2000-08-02 08:00:00 HDT,+73.0268+529.715j
2000-08-02 09:00:00 HDT,+61.2951+526.225j
2000-08-02 10:00:00 HDT,+50.2322+525.001j
2000-08-02 11:00:00 HDT,+48.3408+527.424j
2000-08-02 12:00:00 HDT,+23.9759+520.765j
2000-08-02 13:00:00 HDT,-5.55605+562.108j
2000-08-02 14:00:00 HDT,+11.4382+526.829j
2000-08-02 15:00:00 HDT,-11.6554+572.033j
2000-08-02 16:00:00 HDT,+25.3789+537.803j
2000-08-02 17:00:00 HDT,+24.8951+558.334j
2000-08-02 18:00:00 HDT,+83.9229+533.669j
2000-08-02 19:00:00 HDT,+90.2239+535.213j
2000-08-02 20:00:00 HDT,+90.2239+535.213j
2000-08-02 21:00:00 HDT,+90.2239+535.213j
2000-08-02 22:00:00 HDT,+90.2239+535.213j
2000-08-02 23:00:00 HDT,+90.2239+535.213j
2000-08-03 00:00:00 HDT,+90.2239+535.213j
