# file...... time_results/load_powerA.csv
# date...... Tue Feb 27 16:13:22 2018
# user...... ericlinxie
# host...... (null)
# group..... class=load
# property.. power_A
# limit..... 0
# interval.. 0
# timestamp,l634,l645,l646,l652,l671,l675,l692,l611,l6711,l6321
2000-08-02 00:00:00 HDT,+160000+110000j,+0+0j,+0+0j,+0+0j,+385000+220000j,+485000+190000j,+0+0j,+0+0j,+5666.67+3333.33j,+11333.3+6666.67j
2000-08-02 01:00:00 HDT,+160000+110000j,+0+0j,+0+0j,+0+0j,+385000+220000j,+485000+190000j,+0+0j,+0+0j,+5666.67+3333.33j,+11333.3+6666.67j
2000-08-02 02:00:00 HDT,+160000+110000j,+0+0j,+0+0j,+0+0j,+385000+220000j,+485000+190000j,+0+0j,+0+0j,+5666.67+3333.33j,+11333.3+6666.67j
2000-08-02 03:00:00 HDT,+160000+110000j,+0+0j,+0+0j,+0+0j,+385000+220000j,+485000+190000j,+0+0j,+0+0j,+5666.67+3333.33j,+11333.3+6666.67j
2000-08-02 04:00:00 HDT,+160000+110000j,+0+0j,+0+0j,+0+0j,+385000+220000j,+485000+190000j,+0+0j,+0+0j,+5666.67+3333.33j,+11333.3+6666.67j
2000-08-02 05:00:00 HDT,+160000+110000j,+0+0j,+0+0j,+0+0j,+385000+220000j,+485000+190000j,+0+0j,+0+0j,+5666.67+3333.33j,+11333.3+6666.67j
2000-08-02 06:00:00 HDT,+160000+110000j,+0+0j,+0+0j,+0+0j,+385000+220000j,+485000+190000j,+0+0j,+0+0j,+5666.67+3333.33j,+11333.3+6666.67j
2000-08-02 07:00:00 HDT,+160000+110000j,+0+0j,+0+0j,+0+0j,+385000+220000j,+485000+190000j,+0+0j,+0+0j,+5666.67+3333.33j,+11333.3+6666.67j
2000-08-02 08:00:00 HDT,+160000+110000j,+0+0j,+0+0j,+0+0j,+385000+220000j,+485000+190000j,+0+0j,+0+0j,+5666.67+3333.33j,+11333.3+6666.67j
2000-08-02 09:00:00 HDT,+160000+110000j,+0+0j,+0+0j,+0+0j,+385000+220000j,+485000+190000j,+0+0j,+0+0j,+5666.67+3333.33j,+11333.3+6666.67j
2000-08-02 10:00:00 HDT,+160000+110000j,+0+0j,+0+0j,+0+0j,+385000+220000j,+485000+190000j,+0+0j,+0+0j,+5666.67+3333.33j,+11333.3+6666.67j
2000-08-02 11:00:00 HDT,+160000+110000j,+0+0j,+0+0j,+0+0j,+385000+220000j,+485000+190000j,+0+0j,+0+0j,+5666.67+3333.33j,+11333.3+6666.67j
2000-08-02 12:00:00 HDT,+160000+110000j,+0+0j,+0+0j,+0+0j,+385000+220000j,+485000+190000j,+0+0j,+0+0j,+5666.67+3333.33j,+11333.3+6666.67j
2000-08-02 13:00:00 HDT,+160000+110000j,+0+0j,+0+0j,+0+0j,+385000+220000j,+485000+190000j,+0+0j,+0+0j,+5666.67+3333.33j,+11333.3+6666.67j
2000-08-02 14:00:00 HDT,+160000+110000j,+0+0j,+0+0j,+0+0j,+385000+220000j,+485000+190000j,+0+0j,+0+0j,+5666.67+3333.33j,+11333.3+6666.67j
2000-08-02 15:00:00 HDT,+160000+110000j,+0+0j,+0+0j,+0+0j,+385000+220000j,+485000+190000j,+0+0j,+0+0j,+5666.67+3333.33j,+11333.3+6666.67j
2000-08-02 16:00:00 HDT,+160000+110000j,+0+0j,+0+0j,+0+0j,+385000+220000j,+485000+190000j,+0+0j,+0+0j,+5666.67+3333.33j,+11333.3+6666.67j
2000-08-02 17:00:00 HDT,+160000+110000j,+0+0j,+0+0j,+0+0j,+385000+220000j,+485000+190000j,+0+0j,+0+0j,+5666.67+3333.33j,+11333.3+6666.67j
2000-08-02 18:00:00 HDT,+160000+110000j,+0+0j,+0+0j,+0+0j,+385000+220000j,+485000+190000j,+0+0j,+0+0j,+5666.67+3333.33j,+11333.3+6666.67j
2000-08-02 19:00:00 HDT,+160000+110000j,+0+0j,+0+0j,+0+0j,+385000+220000j,+485000+190000j,+0+0j,+0+0j,+5666.67+3333.33j,+11333.3+6666.67j
2000-08-02 20:00:00 HDT,+160000+110000j,+0+0j,+0+0j,+0+0j,+385000+220000j,+485000+190000j,+0+0j,+0+0j,+5666.67+3333.33j,+11333.3+6666.67j
2000-08-02 21:00:00 HDT,+160000+110000j,+0+0j,+0+0j,+0+0j,+385000+220000j,+485000+190000j,+0+0j,+0+0j,+5666.67+3333.33j,+11333.3+6666.67j
2000-08-02 22:00:00 HDT,+160000+110000j,+0+0j,+0+0j,+0+0j,+385000+220000j,+485000+190000j,+0+0j,+0+0j,+5666.67+3333.33j,+11333.3+6666.67j
2000-08-02 23:00:00 HDT,+160000+110000j,+0+0j,+0+0j,+0+0j,+385000+220000j,+485000+190000j,+0+0j,+0+0j,+5666.67+3333.33j,+11333.3+6666.67j
2000-08-03 00:00:00 HDT,+160000+110000j,+0+0j,+0+0j,+0+0j,+385000+220000j,+485000+190000j,+0+0j,+0+0j,+5666.67+3333.33j,+11333.3+6666.67j
