# file...... time_results/measured_current_A_pv.csv
# date...... Sun Dec 10 19:41:19 2017
# user...... ericlinxie
# host...... (null)
# group..... class=meter
# property.. measured_current_A
# limit..... 0
# interval.. 0
# timestamp,m633,m630,m632,m650,m680,m684,m634,m645,m646,m652,m671,m675,m692,m611
2000-08-02 00:00:00 HDT,+64.3109-49.7724j,+494.366-265.859j,+494.367-265.867j,+525.264-282.475j,+0+0j,+49.0415-39.824j,+557.361-431.36j,+0+0j,+0+0j,+49.0393-39.848j,+425.558-213.111j,+204.466-18.3439j,+221.71-70.19j,+0+0j
2000-08-02 01:00:00 HDT,+64.3109-49.7724j,+494.366-265.859j,+494.367-265.867j,+525.264-282.475j,+0+0j,+49.0415-39.824j,+557.361-431.36j,+0+0j,+0+0j,+49.0393-39.848j,+425.558-213.111j,+204.466-18.3439j,+221.71-70.19j,+0+0j
2000-08-02 02:00:00 HDT,+64.3109-49.7724j,+494.366-265.859j,+494.367-265.867j,+525.264-282.475j,+0+0j,+49.0415-39.824j,+557.361-431.36j,+0+0j,+0+0j,+49.0393-39.848j,+425.558-213.111j,+204.466-18.3439j,+221.71-70.19j,+0+0j
2000-08-02 03:00:00 HDT,+64.3109-49.7724j,+494.366-265.859j,+494.367-265.867j,+525.264-282.475j,+0+0j,+49.0415-39.824j,+557.361-431.36j,+0+0j,+0+0j,+49.0393-39.848j,+425.558-213.111j,+204.466-18.3439j,+221.71-70.19j,+0+0j
2000-08-02 04:00:00 HDT,+64.3109-49.7724j,+494.366-265.859j,+494.367-265.867j,+525.264-282.475j,+0+0j,+49.0415-39.824j,+557.361-431.36j,+0+0j,+0+0j,+49.0393-39.848j,+425.558-213.111j,+204.466-18.3439j,+221.71-70.19j,+0+0j
2000-08-02 05:00:00 HDT,+64.3109-49.7724j,+494.366-265.859j,+494.367-265.867j,+525.264-282.475j,+0+0j,+49.0415-39.824j,+557.361-431.36j,+0+0j,+0+0j,+49.0393-39.848j,+425.558-213.111j,+204.466-18.3439j,+221.71-70.19j,+0+0j
2000-08-02 06:00:00 HDT,+64.3481-49.2618j,+434.845-253.957j,+434.846-253.964j,+462.023-269.829j,-59.711+5.53297j,+49.7852-39.5308j,+557.683-426.936j,+0+0j,+0+0j,+49.7832-39.5549j,+365.999-201.761j,+203.446-14.9529j,+220.689-66.7989j,+0+0j
2000-08-02 07:00:00 HDT,+64.4489-47.7732j,+257.47-222.255j,+257.471-222.262j,+273.562-236.146j,-237.224+18.6996j,+51.97-38.6306j,+558.557-414.035j,+0+0j,+0+0j,+51.9687-38.6552j,+188.521-171.668j,+200.193-5.18899j,+217.436-57.0345j,+0+0j
2000-08-02 08:00:00 HDT,+64.5462-47.0843j,+169.029-219.522j,+169.03-219.53j,+179.594-233.242j,-326.159+12.7027j,+52.964-38.1063j,+559.4-408.064j,+0+0j,+0+0j,+52.9632-38.1312j,+99.9781-169.681j,+198.76-0.757927j,+216.002-52.6032j,+0+0j
2000-08-02 09:00:00 HDT,+64.6874-45.2916j,-57.89-199.054j,-57.8894-199.062j,-61.5082-211.495j,-552.57+10.8332j,+55.6122-36.8248j,+560.624-392.527j,+0+0j,+0+0j,+55.6123-36.8502j,-127.085-151.152j,+194.241+10.6099j,+211.483-41.2349j,+0+0j
2000-08-02 10:00:00 HDT,+64.901-43.7156j,-270.039-211.533j,-270.038-211.541j,-286.916-224.754j,-764.817-21.5617j,+57.8976-35.4471j,+562.475-378.868j,+0+0j,+0+0j,+57.8986-35.4729j,-339.455-165.335j,+190.184+20.3098j,+207.424-31.5346j,+0+0j
2000-08-02 11:00:00 HDT,+65.0593-43.5751j,-295.271-244.573j,-295.27-244.581j,-313.726-259.859j,-791.862-56.8676j,+58.0155-35.102j,+563.848-377.651j,+0+0j,+0+0j,+58.0167-35.1278j,-364.857-198.528j,+190.306+21.1235j,+207.547-30.721j,+0+0j
2000-08-02 12:00:00 HDT,+65.1947-40.0711j,-769.059-243.588j,-769.058-243.596j,-817.125-258.812j,-1260.03-98.9265j,+63.2954-32.16j,+565.021-347.283j,+0+0j,+0+0j,+63.2986-32.1868j,-838.766-201.328j,+178.685+41.7398j,+195.924-10.1036j,+0+0j
2000-08-02 13:00:00 HDT,+59.5227-54.4947j,+483.213-279.05j,+483.214-279.058j,+513.414-296.491j,-0.1+0j,+43.0563-48.9829j,+515.863-472.287j,+0+0j,+0+0j,+43.0499-49.0069j,+419.579-221.169j,+193.556-45.351j,+210.803-97.197j,+0+0j
2000-08-02 14:00:00 HDT,+65.5975-39.3807j,-745.638+230.796j,-745.637+230.788j,-792.24+245.22j,-1235.76+383.249j,+63.8531-30.8716j,+568.512-341.3j,+0+0j,+0+0j,+63.857-30.8983j,-815.777+272.307j,+177.96+45.1926j,+195.199-6.65096j,+0+0j
2000-08-02 15:00:00 HDT,+59.0704-57.1696j,+473.123-302.809j,+473.124-302.816j,+502.693-321.734j,-0.1+0j,+39.0044-50.0784j,+511.943-495.47j,+0+0j,+0+0j,+38.9968-50.1013j,+409.978-242.037j,+194.355-62.7857j,+211.604-114.633j,+0+0j
2000-08-02 16:00:00 HDT,+64.3528-41.3004j,-511.791+220.287j,-511.791+220.279j,-543.778+234.055j,-1000.85+394.584j,+61.8511-34.4853j,+557.725-357.937j,+0+0j,+0+0j,+61.8533-34.5122j,-580.602+263.885j,+180.623+34.4745j,+197.863-17.369j,+0+0j
2000-08-02 17:00:00 HDT,+61.4943-54.6787j,+485.77-290.94j,+485.77-290.948j,+516.13-309.124j,-0.1+0j,+42.5079-45.8828j,+532.951-473.882j,+0+0j,+0+0j,+42.5024-45.9059j,+420.001-232.87j,+201.444-49.0756j,+218.69-100.922j,+0+0j
2000-08-02 18:00:00 HDT,+64.611-48.8935j,+398.797-229.257j,+398.798-229.264j,+423.722-243.585j,-97.1292+26.8684j,+50.2162-38.9473j,+559.962-423.744j,+0+0j,+0+0j,+50.2146-38.9714j,+329.668-177.461j,+203.662-12.6784j,+220.905-64.5243j,+0+0j
2000-08-02 19:00:00 HDT,+64.3109-49.7724j,+494.366-265.859j,+494.367-265.867j,+525.264-282.475j,+0+0j,+49.0415-39.824j,+557.361-431.36j,+0+0j,+0+0j,+49.0393-39.848j,+425.558-213.111j,+204.466-18.3439j,+221.71-70.19j,+0+0j
2000-08-02 20:00:00 HDT,+64.3109-49.7724j,+494.366-265.859j,+494.367-265.867j,+525.264-282.475j,+0+0j,+49.0415-39.824j,+557.361-431.36j,+0+0j,+0+0j,+49.0393-39.848j,+425.558-213.111j,+204.466-18.3439j,+221.71-70.19j,+0+0j
2000-08-02 21:00:00 HDT,+64.3109-49.7724j,+494.366-265.859j,+494.367-265.867j,+525.264-282.475j,+0+0j,+49.0415-39.824j,+557.361-431.36j,+0+0j,+0+0j,+49.0393-39.848j,+425.558-213.111j,+204.466-18.3439j,+221.71-70.19j,+0+0j
2000-08-02 22:00:00 HDT,+64.3109-49.7724j,+494.366-265.859j,+494.367-265.867j,+525.264-282.475j,+0+0j,+49.0415-39.824j,+557.361-431.36j,+0+0j,+0+0j,+49.0393-39.848j,+425.558-213.111j,+204.466-18.3439j,+221.71-70.19j,+0+0j
2000-08-02 23:00:00 HDT,+64.3109-49.7724j,+494.366-265.859j,+494.367-265.867j,+525.264-282.475j,+0+0j,+49.0415-39.824j,+557.361-431.36j,+0+0j,+0+0j,+49.0393-39.848j,+425.558-213.111j,+204.466-18.3439j,+221.71-70.19j,+0+0j
2000-08-03 00:00:00 HDT,+64.3109-49.7724j,+494.366-265.859j,+494.367-265.867j,+525.264-282.475j,+0+0j,+49.0415-39.824j,+557.361-431.36j,+0+0j,+0+0j,+49.0393-39.848j,+425.558-213.111j,+204.466-18.3439j,+221.71-70.19j,+0+0j
