# file...... time_results/measured_current_A_pv_control.csv
# date...... Sun Dec 10 19:41:50 2017
# user...... ericlinxie
# host...... (null)
# group..... class=meter
# property.. measured_current_A
# limit..... 0
# interval.. 0
# timestamp,m633,m630,m632,m650,m680,m684,m634,m645,m646,m652,m671,m675,m692,m611
2000-08-02 00:00:00 HDT,+64.3109-49.7724j,+494.366-265.859j,+494.367-265.867j,+525.264-282.475j,+0+0j,+49.0415-39.824j,+557.361-431.36j,+0+0j,+0+0j,+49.0393-39.848j,+425.558-213.111j,+204.466-18.3439j,+221.71-70.19j,+0+0j
2000-08-02 01:00:00 HDT,+64.3109-49.7724j,+494.366-265.859j,+494.367-265.867j,+525.264-282.475j,+0+0j,+49.0415-39.8241j,+557.361-431.36j,+0+0j,+0+0j,+49.0393-39.848j,+425.558-213.111j,+204.466-18.3439j,+221.71-70.19j,+0+0j
2000-08-02 02:00:00 HDT,+64.3109-49.7724j,+494.366-265.859j,+494.367-265.867j,+525.264-282.475j,+0+0j,+49.0415-39.824j,+557.361-431.36j,+0+0j,+0+0j,+49.0393-39.848j,+425.558-213.111j,+204.466-18.3439j,+221.71-70.19j,+0+0j
2000-08-02 03:00:00 HDT,+64.3109-49.7724j,+494.366-265.859j,+494.367-265.867j,+525.264-282.475j,+0+0j,+49.0415-39.824j,+557.361-431.36j,+0+0j,+0+0j,+49.0393-39.848j,+425.558-213.111j,+204.466-18.3439j,+221.71-70.19j,+0+0j
2000-08-02 04:00:00 HDT,+64.3109-49.7724j,+494.366-265.859j,+494.367-265.867j,+525.264-282.475j,+0+0j,+49.0415-39.824j,+557.361-431.36j,+0+0j,+0+0j,+49.0393-39.848j,+425.558-213.111j,+204.466-18.3439j,+221.71-70.19j,+0+0j
2000-08-02 05:00:00 HDT,+64.3109-49.7724j,+494.366-265.859j,+494.367-265.867j,+525.264-282.475j,+0+0j,+49.0415-39.824j,+557.361-431.36j,+0+0j,+0+0j,+49.0393-39.848j,+425.558-213.111j,+204.466-18.3439j,+221.71-70.19j,+0+0j
2000-08-02 06:00:00 HDT,+64.3481-49.2618j,+434.845-253.957j,+434.846-253.964j,+462.023-269.829j,-59.711+5.53297j,+49.7852-39.5308j,+557.683-426.936j,+0+0j,+0+0j,+49.7832-39.5549j,+365.999-201.761j,+203.446-14.9529j,+220.689-66.7989j,+0+0j
2000-08-02 07:00:00 HDT,+64.4489-47.7732j,+257.47-222.255j,+257.471-222.262j,+273.562-236.146j,-237.224+18.6996j,+51.9699-38.6306j,+558.557-414.035j,+0+0j,+0+0j,+51.9687-38.6552j,+188.521-171.668j,+200.193-5.18899j,+217.436-57.0345j,+0+0j
2000-08-02 08:00:00 HDT,+64.5462-47.0843j,+169.029-219.522j,+169.03-219.53j,+179.594-233.242j,-326.159+12.7027j,+52.964-38.1063j,+559.4-408.064j,+0+0j,+0+0j,+52.9632-38.1312j,+99.9781-169.681j,+198.76-0.757927j,+216.002-52.6032j,+0+0j
2000-08-02 09:00:00 HDT,+64.6874-45.2916j,-57.8901-199.055j,-57.8895-199.062j,-61.5082-211.495j,-552.57+10.8332j,+55.6122-36.8248j,+560.624-392.527j,+0+0j,+0+0j,+55.6123-36.8502j,-127.085-151.152j,+194.241+10.6099j,+211.483-41.2349j,+0+0j
2000-08-02 10:00:00 HDT,+64.901-43.7156j,-270.039-211.533j,-270.038-211.541j,-286.916-224.754j,-764.817-21.5617j,+57.8976-35.4471j,+562.475-378.868j,+0+0j,+0+0j,+57.8986-35.4729j,-339.455-165.335j,+190.184+20.3098j,+207.424-31.5346j,+0+0j
