# file...... time_results/measured_current_B_pv.csv
# date...... Sun Dec 10 19:41:19 2017
# user...... ericlinxie
# host...... (null)
# group..... class=meter
# property.. measured_current_B
# limit..... 0
# interval.. 0
# timestamp,m633,m630,m632,m650,m680,m684,m634,m645,m646,m652,m671,m675,m692,m611
2000-08-02 00:00:00 HDT,-57.1198-21.8184j,-322.085-261.483j,-322.09-261.479j,-338.189-274.557j,+0+0j,+0+0j,-495.038-189.092j,-113.765-86.7884j,-34.7432-55.2283j,+0+0j,-133.363-143.3j,+39.6424-57.1162j,+39.6619-57.1287j,+0+0j
2000-08-02 01:00:00 HDT,-57.1198-21.8184j,-322.085-261.483j,-322.09-261.479j,-338.189-274.557j,+0+0j,+0+0j,-495.038-189.092j,-113.765-86.7884j,-34.7432-55.2283j,+0+0j,-133.363-143.3j,+39.6424-57.1162j,+39.6619-57.1287j,+0+0j
2000-08-02 02:00:00 HDT,-57.1198-21.8184j,-322.085-261.483j,-322.09-261.479j,-338.189-274.557j,+0+0j,+0+0j,-495.038-189.092j,-113.765-86.7884j,-34.7432-55.2283j,+0+0j,-133.363-143.3j,+39.6424-57.1162j,+39.6619-57.1287j,+0+0j
2000-08-02 03:00:00 HDT,-57.1198-21.8184j,-322.085-261.483j,-322.09-261.479j,-338.189-274.557j,+0+0j,+0+0j,-495.038-189.092j,-113.765-86.7884j,-34.7432-55.2283j,+0+0j,-133.363-143.3j,+39.6424-57.1162j,+39.6619-57.1287j,+0+0j
2000-08-02 04:00:00 HDT,-57.1198-21.8184j,-322.085-261.483j,-322.09-261.479j,-338.189-274.557j,+0+0j,+0+0j,-495.038-189.092j,-113.765-86.7884j,-34.7432-55.2283j,+0+0j,-133.363-143.3j,+39.6424-57.1162j,+39.6619-57.1287j,+0+0j
2000-08-02 05:00:00 HDT,-57.1198-21.8184j,-322.085-261.483j,-322.09-261.479j,-338.189-274.557j,+0+0j,+0+0j,-495.038-189.092j,-113.765-86.7884j,-34.7432-55.2283j,+0+0j,-133.363-143.3j,+39.6424-57.1162j,+39.6619-57.1287j,+0+0j
2000-08-02 06:00:00 HDT,-56.9653-22.0943j,-288.81-215.993j,-288.815-215.988j,-303.25-226.792j,+30.1925+47.6736j,+0+0j,-493.7-191.484j,-113.281-87.4711j,-34.478-55.5309j,+0+0j,-100.803-96.7453j,+40.3577-56.7512j,+40.3773-56.7634j,+0+0j
2000-08-02 07:00:00 HDT,-56.4945-22.9177j,-191.626-78.0849j,-191.631-78.0805j,-201.207-81.9892j,+118.099+191.838j,+0+0j,-489.619-198.62j,-111.809-89.4928j,-33.6732-56.4185j,+0+0j,-5.79678+44.3213j,+42.5126-55.6154j,+42.5327-55.627j,+0+0j
2000-08-02 08:00:00 HDT,-56.2692-23.3865j,-150.792+0.585161j,-150.797+0.589561j,-158.331+0.614421j,+154.498+273.83j,+0+0j,-487.666-202.683j,-111.027-90.5331j,-33.2128-56.8115j,+0+0j,+33.9117+124.68j,+43.564-54.9175j,+43.5844-54.9288j,+0+0j
2000-08-02 09:00:00 HDT,-55.653-24.4977j,-39.6138+191.934j,-39.6194+191.938j,-41.5945+201.531j,+253.727+472.738j,+0+0j,-482.326-212.313j,-109.023-93.1198j,-32.0846-57.8664j,+0+0j,+142.155+320.146j,+46.3271-53.2045j,+46.348-53.2151j,+0+0j
