# file...... time_results/measured_current_B_pv_control.csv
# date...... Sun Dec 10 19:41:50 2017
# user...... ericlinxie
# host...... (null)
# group..... class=meter
# property.. measured_current_B
# limit..... 0
# interval.. 0
# timestamp,m633,m630,m632,m650,m680,m684,m634,m645,m646,m652,m671,m675,m692,m611
2000-08-02 00:00:00 HDT,-57.1198-21.8184j,-322.085-261.483j,-322.09-261.479j,-338.189-274.557j,+0+0j,+0+0j,-495.038-189.092j,-113.765-86.7884j,-34.7432-55.2283j,+0+0j,-133.363-143.3j,+39.6424-57.1162j,+39.6619-57.1287j,+0+0j
2000-08-02 01:00:00 HDT,-57.1198-21.8184j,-322.085-261.483j,-322.09-261.479j,-338.189-274.557j,+0+0j,+0+0j,-495.038-189.092j,-113.765-86.7885j,-34.7432-55.2283j,+0+0j,-133.363-143.3j,+39.6424-57.1162j,+39.6619-57.1287j,+0+0j
2000-08-02 02:00:00 HDT,-57.1198-21.8184j,-322.085-261.483j,-322.09-261.479j,-338.189-274.557j,+0+0j,+0+0j,-495.038-189.092j,-113.765-86.7885j,-34.7432-55.2283j,+0+0j,-133.363-143.3j,+39.6424-57.1162j,+39.6619-57.1287j,+0+0j
2000-08-02 03:00:00 HDT,-57.1198-21.8184j,-322.085-261.483j,-322.09-261.479j,-338.189-274.557j,+0+0j,+0+0j,-495.038-189.092j,-113.765-86.7885j,-34.7432-55.2283j,+0+0j,-133.363-143.3j,+39.6424-57.1162j,+39.6619-57.1287j,+0+0j
2000-08-02 04:00:00 HDT,-57.1198-21.8184j,-322.085-261.483j,-322.09-261.479j,-338.189-274.557j,+0+0j,+0+0j,-495.038-189.092j,-113.765-86.7885j,-34.7432-55.2283j,+0+0j,-133.363-143.3j,+39.6424-57.1162j,+39.6619-57.1287j,+0+0j
2000-08-02 05:00:00 HDT,-57.1198-21.8184j,-322.085-261.483j,-322.09-261.479j,-338.189-274.557j,+0+0j,+0+0j,-495.038-189.092j,-113.765-86.7885j,-34.7432-55.2283j,+0+0j,-133.363-143.3j,+39.6424-57.1162j,+39.6619-57.1287j,+0+0j
2000-08-02 06:00:00 HDT,-56.9653-22.0943j,-288.81-215.993j,-288.815-215.988j,-303.25-226.793j,+30.1925+47.6736j,+0+0j,-493.7-191.484j,-113.281-87.4711j,-34.478-55.5309j,+0+0j,-100.803-96.7453j,+40.3577-56.7512j,+40.3773-56.7634j,+0+0j
2000-08-02 07:00:00 HDT,-56.4945-22.9177j,-191.626-78.085j,-191.631-78.0805j,-201.207-81.9892j,+118.099+191.838j,+0+0j,-489.619-198.62j,-111.809-89.4928j,-33.6732-56.4185j,+0+0j,-5.79678+44.3212j,+42.5126-55.6154j,+42.5327-55.627j,+0+0j
2000-08-02 08:00:00 HDT,-56.2692-23.3865j,-150.792+0.585104j,-150.797+0.589504j,-158.331+0.614362j,+154.498+273.83j,+0+0j,-487.666-202.683j,-111.027-90.5331j,-33.2128-56.8115j,+0+0j,+33.9117+124.68j,+43.564-54.9175j,+43.5844-54.9288j,+0+0j
2000-08-02 09:00:00 HDT,-55.653-24.4977j,-39.6138+191.934j,-39.6194+191.939j,-41.5945+201.531j,+253.727+472.738j,+0+0j,-482.326-212.313j,-109.023-93.1198j,-32.0846-57.8664j,+0+0j,+142.155+320.147j,+46.3271-53.2045j,+46.348-53.2151j,+0+0j
2000-08-02 10:00:00 HDT,-55.0996-25.7008j,+41.4597+397.102j,+41.454+397.106j,+43.5326+416.957j,+323.911+685.329j,+0+0j,-477.53-222.741j,-107.007-95.6365j,-30.8638-58.7208j,+0+0j,+220.358+529.492j,+48.8086-51.1951j,+48.83-51.2047j,+0+0j
2000-08-02 11:00:00 HDT,-55.1382-26.0779j,+20.9387+451.11j,+20.933+451.115j,+21.9856+473.666j,+302.994+741.483j,+0+0j,-477.865-226.009j,-106.684-96.1111j,-30.5042-58.6691j,+0+0j,+199.54+584.507j,+48.7597-50.5391j,+48.7811-50.5485j,+0+0j
2000-08-02 12:00:00 HDT,-53.7002-28.5218j,+212.704+889.563j,+212.698+889.567j,+223.339+934.041j,+468.1+1192.96j,+0+0j,-465.402-247.189j,-101.978-101.485j,-27.8428-60.6739j,+0+0j,+384.406+1031.67j,+54.6603-46.0265j,+54.6827-46.034j,+0+0j
2000-08-02 13:00:00 HDT,-54.4398-28.9252j,+56.1999+890.435j,+56.1942+890.439j,+59.0099+934.957j,+320.807+1196.1j,+0+0j,-471.812-250.685j,-102.858-101.023j,-27.7385-59.6331j,+0+0j,+229.775+1032.7j,+51.9146-45.5782j,+51.9365-45.5854j,+0+0j
2000-08-02 14:00:00 HDT,-54.3602-29.1086j,+59.5286+925.082j,+59.5229+925.086j,+62.5051+971.336j,+321.956+1231.69j,+0+0j,-471.122-252.275j,-102.413-101.45j,-27.4098-59.8082j,+0+0j,+232.532+1068.03j,+52.2329-45.2409j,+52.2548-45.248j,+0+0j
2000-08-02 15:00:00 HDT,-54.8366-28.3088j,+0.37918+774.141j,+0.373544+774.146j,+0.398144+812.848j,+272.07+1076.45j,+0+0j,-475.251-245.343j,-104.043-99.6571j,-28.3617-59.1164j,+0+0j,+175.743+914.202j,+50.3505-46.7243j,+50.3721-46.7319j,+0+0j
2000-08-02 16:00:00 HDT,-54.8463-27.7086j,+17.1554+695.403j,+17.1498+695.407j,+18.0132+730.173j,+290.52+994.633j,+0+0j,-475.334-240.141j,-104.572-98.8244j,-28.8536-59.1192j,+0+0j,+193.111+833.788j,+50.2165-47.7312j,+50.2381-47.7393j,+0+0j
2000-08-02 17:00:00 HDT,-55.6204-25.8643j,-74.242+389.518j,-74.2476+389.523j,-77.9541+408.994j,+215.272+678.192j,+0+0j,-482.043-224.157j,-107.614-95.1161j,-30.7741-57.9596j,+0+0j,+105.976+521.65j,+46.8736-50.882j,+46.8946-50.8915j,+0+0j
2000-08-02 18:00:00 HDT,-56.9196-22.3374j,-281.998-177.917j,-282.004-177.912j,-296.098-186.813j,+35.7803+87.4334j,+0+0j,-493.303-193.591j,-112.973-87.9127j,-34.241-55.6349j,+0+0j,-94.3779-57.8871j,+40.645-56.3743j,+40.6648-56.3863j,+0+0j
2000-08-02 19:00:00 HDT,-57.1198-21.8184j,-322.085-261.483j,-322.09-261.479j,-338.189-274.557j,+0+0j,+0+0j,-495.038-189.092j,-113.765-86.7885j,-34.7432-55.2283j,+0+0j,-133.363-143.3j,+39.6424-57.1162j,+39.6619-57.1287j,+0+0j
2000-08-02 20:00:00 HDT,-57.1198-21.8184j,-322.085-261.483j,-322.09-261.479j,-338.189-274.557j,+0+0j,+0+0j,-495.038-189.092j,-113.765-86.7885j,-34.7432-55.2283j,+0+0j,-133.363-143.3j,+39.6424-57.1162j,+39.6619-57.1287j,+0+0j
2000-08-02 21:00:00 HDT,-57.1198-21.8184j,-322.085-261.483j,-322.09-261.479j,-338.189-274.557j,+0+0j,+0+0j,-495.038-189.092j,-113.765-86.7885j,-34.7432-55.2283j,+0+0j,-133.363-143.3j,+39.6424-57.1162j,+39.6619-57.1287j,+0+0j
2000-08-02 22:00:00 HDT,-57.1198-21.8184j,-322.085-261.483j,-322.09-261.479j,-338.189-274.557j,+0+0j,+0+0j,-495.038-189.092j,-113.765-86.7885j,-34.7432-55.2283j,+0+0j,-133.363-143.3j,+39.6424-57.1162j,+39.6619-57.1287j,+0+0j
