# file...... time_results/measured_current_C_pv.csv
# date...... Sun Dec 10 19:41:19 2017
# user...... ericlinxie
# host...... (null)
# group..... class=meter
# property.. measured_current_C
# limit..... 0
# interval.. 0
# timestamp,m633,m630,m632,m650,m680,m684,m634,m645,m646,m652,m671,m675,m692,m611
2000-08-02 00:00:00 HDT,+10.4105+61.7554j,-46.5895+583.283j,-46.5842+583.287j,-49.7925+623.384j,+0+0j,-43.1905+60.3484j,+90.2239+535.213j,+34.7425+55.2281j,+34.7432+55.2283j,+0+0j,-93.5993+429.1j,-46.1307+114.806j,-63.3915+166.664j,-43.19+60.3487j
2000-08-02 01:00:00 HDT,+10.4105+61.7554j,-46.5895+583.283j,-46.5842+583.287j,-49.7925+623.384j,+0+0j,-43.1905+60.3484j,+90.2239+535.213j,+34.7425+55.2281j,+34.7432+55.2283j,+0+0j,-93.5993+429.1j,-46.1307+114.806j,-63.3915+166.664j,-43.19+60.3487j
2000-08-02 02:00:00 HDT,+10.4105+61.7554j,-46.5895+583.283j,-46.5842+583.287j,-49.7925+623.384j,+0+0j,-43.1905+60.3484j,+90.2239+535.213j,+34.7425+55.2281j,+34.7432+55.2283j,+0+0j,-93.5993+429.1j,-46.1307+114.806j,-63.3915+166.664j,-43.19+60.3487j
2000-08-02 03:00:00 HDT,+10.4105+61.7554j,-46.5895+583.283j,-46.5842+583.287j,-49.7925+623.384j,+0+0j,-43.1905+60.3484j,+90.2239+535.213j,+34.7425+55.2281j,+34.7432+55.2283j,+0+0j,-93.5993+429.1j,-46.1307+114.806j,-63.3915+166.664j,-43.19+60.3487j
2000-08-02 04:00:00 HDT,+10.4105+61.7554j,-46.5895+583.283j,-46.5842+583.287j,-49.7925+623.384j,+0+0j,-43.1905+60.3484j,+90.2239+535.213j,+34.7425+55.2281j,+34.7432+55.2283j,+0+0j,-93.5993+429.1j,-46.1307+114.806j,-63.3915+166.664j,-43.19+60.3487j
2000-08-02 05:00:00 HDT,+10.4105+61.7554j,-46.5895+583.283j,-46.5842+583.287j,-49.7925+623.384j,+0+0j,-43.1905+60.3484j,+90.2239+535.213j,+34.7425+55.2281j,+34.7432+55.2283j,+0+0j,-93.5993+429.1j,-46.1307+114.806j,-63.3915+166.664j,-43.19+60.3487j
2000-08-02 06:00:00 HDT,+10.0434+61.6166j,-25.1228+525.893j,-25.1175+525.896j,-26.85+562.048j,+26.4918-54.4755j,-43.1996+59.823j,+87.0429+534.01j,+34.4773+55.5307j,+34.478+55.5309j,+0+0j,-71.24+371.673j,-48.0113+113.175j,-65.2721+165.033j,-43.1991+59.8232j
2000-08-02 07:00:00 HDT,+8.96631+61.2154j,+42.1798+356.821j,+42.1851+356.825j,+45.0797+381.353j,+108.268-214.734j,-43.1859+58.2635j,+77.708+530.534j,+33.6725+56.4182j,+33.6732+56.4185j,+0+0j,-1.29503+202.488j,-53.3527+108.276j,-70.6134+160.133j,-43.1853+58.2638j
2000-08-02 08:00:00 HDT,+8.42617+61.1209j,+88.0272+279.67j,+88.0325+279.674j,+94.0791+298.898j,+160.999-288.514j,-43.025+57.5201j,+73.0268+529.715j,+33.2121+56.8112j,+33.2128+56.8115j,+0+0j,+45.9436+125.152j,-55.6918+106.345j,-72.9524+158.202j,-43.0245+57.5204j
2000-08-02 09:00:00 HDT,+7.07251+60.7183j,+193.785+73.5059j,+193.79+73.5095j,+207.108+78.5595j,+283.933-483.824j,-42.7722+55.5644j,+61.2951+526.225j,+32.084+57.8661j,+32.0846+57.8664j,+0+0j,+155.14-81.2569j,-61.6906+100.346j,-78.9511+152.202j,-42.7717+55.5647j
2000-08-02 10:00:00 HDT,+5.79602+60.577j,+324.244-101.557j,+324.25-101.553j,+346.536-108.539j,+429.706-650.762j,-42.1536+53.8364j,+50.2322+525.001j,+30.8632+58.7205j,+30.8638+58.7208j,+0+0j,+289.019-256.807j,-66.5369+95.798j,-83.7971+147.653j,-42.153+53.8367j
2000-08-02 11:00:00 HDT,+5.57779+60.8566j,+376.555-106.02j,+376.56-106.017j,+402.443-113.309j,+484.224-657.338j,-41.6616+53.721j,+48.3408+527.424j,+30.5035+58.6688j,+30.5042+58.6691j,+0+0j,+342.101-261.673j,-66.7774+96.761j,-84.0374+148.616j,-41.6611+53.7214j
2000-08-02 12:00:00 HDT,+2.76645+60.0883j,+649.065-519.98j,+649.07-519.976j,+693.688-555.728j,+788.777-1046.02j,-40.5669+49.6764j,+23.9759+520.765j,+27.8421+60.6735j,+27.8428+60.6739j,+0+0j,+622.044-676.012j,-77.168+83.2645j,-94.4274+135.117j,-40.5663+49.6769j
2000-08-02 13:00:00 HDT,-0.641082+64.8586j,+705.723-339.215j,+705.728-339.211j,+754.241-362.536j,+843.556-898.656j,-32.6935+49.368j,-5.55605+562.108j,+28.0636+60.1812j,+28.0642+60.1815j,+0+0j,+685.092-502.414j,-84.251+99.62j,-101.506+151.473j,-32.6931+49.3684j
2000-08-02 14:00:00 HDT,+1.3198+60.7879j,+1017.71-323.01j,+1017.71-323.006j,+1087.67-345.217j,+1146.43-851.434j,-38.5446+48.3725j,+11.4382+526.829j,+28.9051+54.4785j,+28.9058+54.4789j,+0+0j,+992.232-473.843j,-80.6701+82.1574j,-97.9284+134.009j,-38.5441+48.373j
2000-08-02 15:00:00 HDT,-1.34486+66.0039j,+661.509-178.697j,+661.514-178.693j,+706.987-190.982j,+794.497-742.169j,-31.0969+49.5065j,-11.6554+572.033j,+30.5142+60.3034j,+30.5148+60.3037j,+0+0j,+639.84-343.857j,-86.6685+103.726j,-103.923+155.578j,-31.0965+49.5069j
2000-08-02 16:00:00 HDT,+2.92833+62.0542j,+872.442-125.763j,+872.447-125.759j,+932.422-134.409j,+985.916-674.398j,-38.3635+51.1824j,+25.3789+537.803j,+29.8984+54.4145j,+29.8991+54.4148j,+0+0j,+843.362-278.893j,-74.2195+95.216j,-91.4777+147.069j,-38.363+51.1828j
2000-08-02 17:00:00 HDT,+2.87251+64.4232j,+408.956+40.2115j,+408.961+40.2152j,+437.072+42.9761j,+512.296-532.567j,-35.7865+52.7254j,+24.8951+558.334j,+31.776+58.5596j,+31.7766+58.5599j,+0+0j,+378.402-121.114j,-71.9156+109.427j,-89.1724+161.281j,-35.7861+52.7258j
