# file...... time_results/measured_current_C_pv_control.csv
# date...... Sat Jan 20 17:25:57 2018
# user...... ericlinxie
# host...... (null)
# group..... class=meter
# property.. measured_current_C
# limit..... 0
# interval.. 0
# timestamp,m633,m630,m632,m650,m680,m684,m634,m645,m646,m652,m671,m675,m692,m611
2000-08-02 00:00:00 HDT,+10.4105+61.7554j,-46.5895+583.283j,-46.5842+583.287j,-49.7925+623.384j,+0+0j,-43.1905+60.3484j,+90.2239+535.213j,+34.7425+55.2281j,+34.7432+55.2283j,+0+0j,-93.5993+429.1j,-46.1307+114.806j,-63.3915+166.664j,-43.19+60.3487j
2000-08-02 01:00:00 HDT,+10.4105+61.7554j,-46.5895+583.283j,-46.5842+583.287j,-49.7926+623.384j,+0+0j,-43.1905+60.3484j,+90.2239+535.213j,+34.7425+55.2281j,+34.7432+55.2283j,+0+0j,-93.5993+429.1j,-46.1307+114.806j,-63.3915+166.664j,-43.19+60.3487j
2000-08-02 02:00:00 HDT,+10.4105+61.7554j,-46.5895+583.283j,-46.5842+583.287j,-49.7926+623.384j,+0+0j,-43.1905+60.3484j,+90.2239+535.213j,+34.7425+55.2281j,+34.7432+55.2283j,+0+0j,-93.5993+429.1j,-46.1307+114.806j,-63.3915+166.664j,-43.19+60.3487j
2000-08-02 03:00:00 HDT,+10.4105+61.7554j,-46.5895+583.283j,-46.5842+583.287j,-49.7926+623.384j,+0+0j,-43.1905+60.3484j,+90.2239+535.213j,+34.7425+55.2281j,+34.7432+55.2283j,+0+0j,-93.5993+429.1j,-46.1307+114.806j,-63.3915+166.664j,-43.19+60.3487j
2000-08-02 04:00:00 HDT,+10.4105+61.7554j,-46.5895+583.283j,-46.5842+583.287j,-49.7926+623.384j,+0+0j,-43.1905+60.3484j,+90.2239+535.213j,+34.7425+55.2281j,+34.7432+55.2283j,+0+0j,-93.5993+429.1j,-46.1307+114.806j,-63.3915+166.664j,-43.19+60.3487j
2000-08-02 05:00:00 HDT,+10.4105+61.7554j,-46.5895+583.283j,-46.5842+583.287j,-49.7926+623.384j,+0+0j,-43.1905+60.3484j,+90.2239+535.213j,+34.7425+55.2281j,+34.7432+55.2283j,+0+0j,-93.5993+429.1j,-46.1307+114.806j,-63.3915+166.664j,-43.19+60.3487j
2000-08-02 06:00:00 HDT,+10.0434+61.6166j,-25.1228+525.893j,-25.1175+525.896j,-26.85+562.048j,+26.4918-54.4755j,-43.1996+59.823j,+87.0429+534.01j,+34.4773+55.5307j,+34.478+55.5309j,+0+0j,-71.24+371.673j,-48.0113+113.175j,-65.2721+165.033j,-43.1991+59.8232j
2000-08-02 07:00:00 HDT,+8.96631+61.2154j,+42.1796+356.821j,+42.185+356.825j,+45.0795+381.353j,+108.268-214.734j,-43.1859+58.2635j,+77.708+530.534j,+33.6725+56.4182j,+33.6732+56.4185j,+0+0j,-1.29505+202.488j,-53.3527+108.276j,-70.6134+160.133j,-43.1853+58.2638j
2000-08-02 08:00:00 HDT,+8.42617+61.1209j,+88.0272+279.671j,+88.0325+279.674j,+94.0791+298.898j,+160.999-288.514j,-43.025+57.5201j,+73.0268+529.715j,+33.2121+56.8112j,+33.2128+56.8115j,+0+0j,+45.9436+125.152j,-55.6918+106.345j,-72.9524+158.202j,-43.0245+57.5204j
2000-08-02 09:00:00 HDT,+7.07251+60.7183j,+193.785+73.5059j,+193.79+73.5095j,+207.108+78.5594j,+283.933-483.824j,-42.7722+55.5644j,+61.2951+526.225j,+32.084+57.8661j,+32.0846+57.8664j,+0+0j,+155.14-81.2569j,-61.6906+100.346j,-78.9511+152.202j,-42.7717+55.5647j
2000-08-02 10:00:00 HDT,+5.79602+60.577j,+324.244-101.557j,+324.25-101.553j,+346.536-108.539j,+429.706-650.762j,-42.1536+53.8364j,+50.2322+525.001j,+30.8632+58.7205j,+30.8638+58.7208j,+0+0j,+289.019-256.807j,-66.5369+95.798j,-83.7971+147.653j,-42.153+53.8367j
2000-08-02 11:00:00 HDT,+5.57779+60.8566j,+376.554-106.02j,+376.56-106.017j,+402.443-113.309j,+484.224-657.338j,-41.6616+53.721j,+48.3408+527.424j,+30.5035+58.6688j,+30.5042+58.6691j,+0+0j,+342.101-261.673j,-66.7774+96.761j,-84.0374+148.616j,-41.6611+53.7214j
2000-08-02 12:00:00 HDT,+2.76645+60.0883j,+649.065-519.98j,+649.07-519.976j,+693.688-555.728j,+788.777-1046.02j,-40.5669+49.6765j,+23.9759+520.765j,+27.8421+60.6735j,+27.8428+60.6739j,+0+0j,+622.044-676.012j,-77.168+83.2645j,-94.4274+135.117j,-40.5663+49.6769j
2000-08-02 13:00:00 HDT,+3.2538+61.3586j,+709.074-355.047j,+709.079-355.044j,+757.823-379.457j,+843.557-898.656j,-39.4209+51.1599j,+28.1996+531.775j,+27.7379+59.6327j,+27.7385+59.6331j,+0+0j,+681.482-512.258j,-73.8822+92.3618j,-91.141+144.215j,-39.4204+51.1603j
2000-08-02 14:00:00 HDT,+2.85058+61.2078j,+738.326-410.15j,+738.331-410.146j,+789.086-438.348j,+876.553-949.883j,-39.2924+50.5717j,+24.705+530.468j,+27.4092+59.8079j,+27.4098+59.8082j,+0+0j,+711.742-567.23j,-75.3865+90.131j,-92.6452+141.984j,-39.2919+50.5721j
2000-08-02 15:00:00 HDT,+3.90555+61.5908j,+644.336-260.384j,+644.341-260.381j,+688.634-278.286j,+770.798-810.625j,-39.6221+52.0993j,+33.8481+533.787j,+28.3611+59.1161j,+28.3617+59.1164j,+0+0j,+615.02-417.551j,-71.3783+95.8658j,-88.6371+147.72j,-39.6217+52.0997j
2000-08-02 16:00:00 HDT,+4.18293+61.273j,+576.006-247.246j,+576.012-247.243j,+615.607-264.245j,+698.956-795.616j,-40.1978+52.2339j,+36.252+531.033j,+28.8529+59.1189j,+28.8536+59.1192j,+0+0j,+545.676-403.907j,-70.8978+94.8699j,-88.157+146.724j,-40.1973+52.2343j
2000-08-02 17:00:00 HDT,+6.13839+61.487j,+370.602+10.1575j,+370.607+10.1611j,+396.08+10.8558j,+470.715-551.357j,-41.2443+54.7872j,+53.1993+532.887j,+30.7734+57.9593j,+30.7741+57.9596j,+0+0j,+334.979-145.92j,-63.6033+102.119j,-80.863+153.975j,-41.2438+54.7875j
2000-08-02 18:00:00 HDT,+9.81904+61.6872j,+3.24844+501.188j,+3.25374+501.192j,+3.47177+535.645j,+57.5105-79.171j,-43.0071+59.5617j,+85.0984+534.623j,+34.2403+55.6347j,+34.241+55.6349j,+0+0j,-42.2332+346.761j,-48.7593+113.05j,-66.0199+164.908j,-43.0065+59.562j
2000-08-02 19:00:00 HDT,+10.4105+61.7554j,-46.5896+583.284j,-46.5843+583.287j,-49.7926+623.384j,+0+0j,-43.1905+60.3484j,+90.2239+535.213j,+34.7425+55.2281j,+34.7432+55.2283j,+0+0j,-93.5993+429.101j,-46.1307+114.806j,-63.3915+166.664j,-43.19+60.3487j
2000-08-02 20:00:00 HDT,+10.4105+61.7554j,-46.5895+583.283j,-46.5842+583.287j,-49.7926+623.384j,+0+0j,-43.1905+60.3484j,+90.2239+535.213j,+34.7425+55.2281j,+34.7432+55.2283j,+0+0j,-93.5993+429.1j,-46.1307+114.806j,-63.3915+166.664j,-43.19+60.3487j
2000-08-02 21:00:00 HDT,+10.4105+61.7554j,-46.5895+583.283j,-46.5842+583.287j,-49.7926+623.384j,+0+0j,-43.1905+60.3484j,+90.2239+535.213j,+34.7425+55.2281j,+34.7432+55.2283j,+0+0j,-93.5993+429.1j,-46.1307+114.806j,-63.3915+166.664j,-43.19+60.3487j
2000-08-02 22:00:00 HDT,+10.4105+61.7554j,-46.5895+583.283j,-46.5842+583.287j,-49.7926+623.384j,+0+0j,-43.1905+60.3484j,+90.2239+535.213j,+34.7425+55.2281j,+34.7432+55.2283j,+0+0j,-93.5993+429.1j,-46.1307+114.806j,-63.3915+166.664j,-43.19+60.3487j
