# file...... time_results/meter_data_no1547_zip/current/m652.csv
# date...... Wed May  2 01:07:02 2018
# user...... ericlinxie
# host...... (null)
# target.... meter 61
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,measured_current_A.real,measured_current_A.imag,measured_current_B.real,measured_current_B.imag,measured_current_C.real,measured_current_C.imag
2000-08-02 11:50:00 HDT,+57.827,-29.6453,+0,+0,+0,+0
2000-08-02 11:50:01 HDT,+57.795,-29.614,+0,+0,+0,+0
2000-08-02 11:50:02 HDT,+57.7943,-29.5963,+0,+0,+0,+0
2000-08-02 11:50:03 HDT,+57.7931,-29.593,+0,+0,+0,+0
2000-08-02 11:50:04 HDT,+57.7925,-29.5913,+0,+0,+0,+0
2000-08-02 11:50:05 HDT,+57.7923,-29.5909,+0,+0,+0,+0
2000-08-02 11:50:06 HDT,+57.7922,-29.5907,+0,+0,+0,+0
2000-08-02 11:50:07 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:50:08 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:50:09 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:50:10 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:50:11 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:50:12 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:50:13 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:50:14 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:50:15 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:50:16 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:50:17 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:50:18 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:50:19 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:50:20 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:50:21 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:50:22 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:50:23 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:50:24 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:50:25 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:50:26 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:50:27 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:50:28 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:50:29 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:50:30 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:50:31 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:50:32 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:50:33 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:50:34 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:50:35 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:50:36 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:50:37 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:50:38 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:50:39 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:50:40 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:50:41 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:50:42 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:50:43 HDT,+57.7922,-29.5906,+0,+0,+0,+0
