# file...... time_results/overhead_line_losses_pv.csv
# date...... Sun Dec 10 19:41:19 2017
# user...... ericlinxie
# host...... (null)
# group..... class=overhead_line
# property.. power_losses
# limit..... 0
# interval.. 0
# timestamp,line_632-645,line_645-646,line_630-632,line_632-6321,line_6321-671,line_671-680,line_671-684,line_684-611,line_632-633
2000-08-02 00:00:00 HDT,+2769.09+2392.41i,+541.846+428.407j,+65643+192608j,+12416.3+30562.3i,+35577+83793.6i,+2.62465-24.2078i,+610.047+490.038i,+415.996+420.103i,+807.228+1025i
2000-08-02 01:00:00 HDT,+2769.09+2392.41i,+541.846+428.407j,+65643+192608j,+12416.3+30562.3i,+35577+83793.6i,+2.62465-24.2078i,+610.047+490.038i,+415.996+420.103i,+807.228+1025i
2000-08-02 02:00:00 HDT,+2769.09+2392.41i,+541.846+428.407j,+65643+192608j,+12416.3+30562.3i,+35577+83793.6i,+2.62465-24.2078i,+610.047+490.038i,+415.996+420.103i,+807.228+1025i
2000-08-02 03:00:00 HDT,+2769.09+2392.41i,+541.846+428.407j,+65643+192608j,+12416.3+30562.3i,+35577+83793.6i,+2.62465-24.2078i,+610.047+490.038i,+415.996+420.103i,+807.228+1025i
2000-08-02 04:00:00 HDT,+2769.09+2392.41i,+541.846+428.407j,+65643+192608j,+12416.3+30562.3i,+35577+83793.6i,+2.62465-24.2078i,+610.047+490.038i,+415.996+420.103i,+807.228+1025i
2000-08-02 05:00:00 HDT,+2769.09+2392.41i,+541.846+428.407j,+65643+192608j,+12416.3+30562.3i,+35577+83793.6i,+2.62465-24.2078i,+610.047+490.038i,+415.996+420.103i,+807.228+1025i
2000-08-02 06:00:00 HDT,+2771.45+2393.99i,+543.775+429.933j,+52902.3+153747j,+9327.77+23169.1i,+26324.2+62816.1i,+368.65+1163.26i,+609.253+489.405i,+411.286+415.314i,+802.844+1019.26i
2000-08-02 07:00:00 HDT,+2778.38+2398.59i,+549.441+434.411j,+23056.1+67552.2j,+3863.72+8538.05i,+9787.09+22469.8i,+5826.71+18747.9i,+607.162+487.88i,+397.287+401.079i,+790.288+1002.81i
2000-08-02 08:00:00 HDT,+2781.06+2400.52i,+551.185+435.791j,+13979.6+43781j,+3975.43+5853.56i,+11086.7+16057.3i,+11087.4+35705.6i,+605.006+486.402i,+389.738+393.414i,+785.792+996.887i
2000-08-02 09:00:00 HDT,+2789.12+2406.05i,+557.207+440.551j,+9515.74+28531.1j,+3938.02+10766i,+13537.8+35182.7i,+31998.5+103137i,+602.143+484.826i,+371.394+374.77i,+772.326+979.212i
