# file...... time_results/powerA.csv
# date...... Tue Feb 27 16:13:22 2018
# user...... ericlinxie
# host...... (null)
# group..... class=meter
# property.. measured_power_A
# limit..... 0
# interval.. 0
# timestamp,m633,m630,m632,m650,m680,m684,m634,m645,m646,m652,m671,m675,m692,m611
2000-08-02 00:00:00 HDT,+162518+114578i,+1.26154e+06+678443j,+1.23959e+06+598776i,+1.26157e+06+678443i,+0-0i,+124658+83340.8i,+160000+110000j,+0+0j,+0+0j,+123974+83295.2i,+1.05452e+06+411282i,+485000-3528.59i,+540425+117568i,+0+0j
2000-08-02 01:00:00 HDT,+162518+114578i,+1.26154e+06+678443j,+1.23959e+06+598776i,+1.26157e+06+678443i,+0-0i,+124658+83340.8i,+160000+110000j,+0+0j,+0+0j,+123974+83295.2i,+1.05452e+06+411282i,+485000-3528.59i,+540425+117568i,+0+0j
2000-08-02 02:00:00 HDT,+162518+114578i,+1.26154e+06+678443j,+1.23959e+06+598776i,+1.26157e+06+678443i,+0-0i,+124658+83340.8i,+160000+110000j,+0+0j,+0+0j,+123974+83295.2i,+1.05452e+06+411282i,+485000-3528.59i,+540425+117568i,+0+0j
2000-08-02 03:00:00 HDT,+162518+114578i,+1.26154e+06+678443j,+1.23959e+06+598776i,+1.26157e+06+678443i,+0-0i,+124658+83340.8i,+160000+110000j,+0+0j,+0+0j,+123974+83295.2i,+1.05452e+06+411282i,+485000-3528.59i,+540425+117568i,+0+0j
2000-08-02 04:00:00 HDT,+162518+114578i,+1.26154e+06+678443j,+1.23959e+06+598776i,+1.26157e+06+678443i,+0-0i,+124658+83340.8i,+160000+110000j,+0+0j,+0+0j,+123974+83295.2i,+1.05452e+06+411282i,+485000-3528.59i,+540425+117568i,+0+0j
2000-08-02 05:00:00 HDT,+162518+114578i,+1.26154e+06+678443j,+1.23959e+06+598776i,+1.26157e+06+678443i,+0-0i,+124658+83340.8i,+160000+110000j,+0+0j,+0+0j,+123974+83295.2i,+1.05452e+06+411282i,+485000-3528.59i,+540425+117568i,+0+0j
2000-08-02 06:00:00 HDT,+162518+114578i,+1.26154e+06+678443j,+1.23959e+06+598776i,+1.26157e+06+678443i,+0-0i,+124658+83340.8i,+160000+110000j,+0+0j,+0+0j,+123974+83295.2i,+1.05452e+06+411282i,+485000-3528.59i,+540425+117568i,+0+0j
2000-08-02 07:00:00 HDT,+162518+114578i,+1.26154e+06+678443j,+1.23959e+06+598776i,+1.26157e+06+678443i,+0-0i,+124658+83340.8i,+160000+110000j,+0+0j,+0+0j,+123974+83295.2i,+1.05452e+06+411282i,+485000-3528.59i,+540425+117568i,+0+0j
2000-08-02 08:00:00 HDT,+162518+114578i,+1.26154e+06+678443j,+1.23959e+06+598776i,+1.26157e+06+678443i,+0-0i,+124658+83340.8i,+160000+110000j,+0+0j,+0+0j,+123974+83295.2i,+1.05452e+06+411282i,+485000-3528.59i,+540425+117568i,+0+0j
2000-08-02 09:00:00 HDT,+162518+114578i,+1.26154e+06+678443j,+1.23959e+06+598776i,+1.26157e+06+678443i,+0-0i,+124658+83340.8i,+160000+110000j,+0+0j,+0+0j,+123974+83295.2i,+1.05452e+06+411282i,+485000-3528.59i,+540425+117568i,+0+0j
2000-08-02 10:00:00 HDT,+162518+114578i,+1.26154e+06+678443j,+1.23959e+06+598776i,+1.26157e+06+678443i,+0-0i,+124658+83340.8i,+160000+110000j,+0+0j,+0+0j,+123974+83295.2i,+1.05452e+06+411282i,+485000-3528.59i,+540425+117568i,+0+0j
2000-08-02 11:00:00 HDT,+162518+114578i,+1.26154e+06+678443j,+1.23959e+06+598776i,+1.26157e+06+678443i,+0-0i,+124658+83340.8i,+160000+110000j,+0+0j,+0+0j,+123974+83295.2i,+1.05452e+06+411282i,+485000-3528.59i,+540425+117568i,+0+0j
2000-08-02 12:00:00 HDT,+162518+114578i,+1.26154e+06+678443j,+1.23959e+06+598776i,+1.26157e+06+678443i,+0-0i,+124658+83340.8i,+160000+110000j,+0+0j,+0+0j,+123974+83295.2i,+1.05452e+06+411282i,+485000-3528.59i,+540425+117568i,+0+0j
2000-08-02 13:00:00 HDT,+162518+114578i,+1.26154e+06+678443j,+1.23959e+06+598776i,+1.26157e+06+678443i,+0-0i,+124658+83340.8i,+160000+110000j,+0+0j,+0+0j,+123974+83295.2i,+1.05452e+06+411282i,+485000-3528.59i,+540425+117568i,+0+0j
2000-08-02 14:00:00 HDT,+162518+114578i,+1.26154e+06+678443j,+1.23959e+06+598776i,+1.26157e+06+678443i,+0-0i,+124658+83340.8i,+160000+110000j,+0+0j,+0+0j,+123974+83295.2i,+1.05452e+06+411282i,+485000-3528.59i,+540425+117568i,+0+0j
2000-08-02 15:00:00 HDT,+162518+114578i,+1.26154e+06+678443j,+1.23959e+06+598776i,+1.26157e+06+678443i,+0-0i,+124658+83340.8i,+160000+110000j,+0+0j,+0+0j,+123974+83295.2i,+1.05452e+06+411282i,+485000-3528.59i,+540425+117568i,+0+0j
2000-08-02 16:00:00 HDT,+162518+114578i,+1.26154e+06+678443j,+1.23959e+06+598776i,+1.26157e+06+678443i,+0-0i,+124658+83340.8i,+160000+110000j,+0+0j,+0+0j,+123974+83295.2i,+1.05452e+06+411282i,+485000-3528.59i,+540425+117568i,+0+0j
2000-08-02 17:00:00 HDT,+162518+114578i,+1.26154e+06+678443j,+1.23959e+06+598776i,+1.26157e+06+678443i,+0-0i,+124658+83340.8i,+160000+110000j,+0+0j,+0+0j,+123974+83295.2i,+1.05452e+06+411282i,+485000-3528.59i,+540425+117568i,+0+0j
2000-08-02 18:00:00 HDT,+162518+114578i,+1.26154e+06+678443j,+1.23959e+06+598776i,+1.26157e+06+678443i,+0-0i,+124658+83340.8i,+160000+110000j,+0+0j,+0+0j,+123974+83295.2i,+1.05452e+06+411282i,+485000-3528.59i,+540425+117568i,+0+0j
2000-08-02 19:00:00 HDT,+162518+114578i,+1.26154e+06+678443j,+1.23959e+06+598776i,+1.26157e+06+678443i,+0-0i,+124658+83340.8i,+160000+110000j,+0+0j,+0+0j,+123974+83295.2i,+1.05452e+06+411282i,+485000-3528.59i,+540425+117568i,+0+0j
