# file...... time_results/powerB.csv
# date...... Tue Nov 28 10:27:00 2017
# user...... ericlinxie
# host...... (null)
# group..... class=meter
# property.. measured_power_B
# limit..... 0
# interval.. 0
# timestamp,m633,m630,m632,m650,m680,m684,m634,m645,m646,m652,m671,m675,m692,m611
2000-08-02 00:00:00 HDT,+121423+92588j,+977189+373720j,+980149+341459j,+977207+373720j,-0+0j,+0+0j,+120000+90000j,+331799+125763j,+161528+550.093j,+0+0j,+486294+90973.6j,+68000-162449j,+68344.5-161931j,+0+0j
2000-08-02 01:00:00 HDT,+121423+92588j,+977189+373720j,+980149+341459j,+977207+373720j,-0+0j,+0+0j,+120000+90000j,+331799+125763j,+161528+550.094j,+0+0j,+486294+90973.7j,+68000-162449j,+68344.5-161931j,+0+0j
2000-08-02 02:00:00 HDT,+121423+92588j,+977189+373720j,+980149+341459j,+977207+373720j,-0+0j,+0+0j,+120000+90000j,+331799+125763j,+161528+550.094j,+0+0j,+486294+90973.7j,+68000-162449j,+68344.5-161931j,+0+0j
2000-08-02 03:00:00 HDT,+121423+92588j,+977189+373720j,+980149+341459j,+977207+373720j,-0+0j,+0+0j,+120000+90000j,+331799+125763j,+161528+550.094j,+0+0j,+486294+90973.7j,+68000-162449j,+68344.5-161931j,+0+0j
2000-08-02 04:00:00 HDT,+121423+92588j,+977189+373720j,+980149+341459j,+977207+373720j,-0+0j,+0+0j,+120000+90000j,+331799+125763j,+161528+550.094j,+0+0j,+486294+90973.7j,+68000-162449j,+68344.5-161931j,+0+0j
2000-08-02 05:00:00 HDT,+121423+92588j,+977189+373720j,+980149+341459j,+977207+373720j,-0+0j,+0+0j,+120000+90000j,+331799+125763j,+161528+550.094j,+0+0j,+486294+90973.7j,+68000-162449j,+68344.5-161931j,+0+0j
2000-08-02 06:00:00 HDT,+121423+92588j,+977189+373720j,+980149+341459j,+977207+373720j,-0+0j,+0+0j,+120000+90000j,+331799+125763j,+161528+550.094j,+0+0j,+486294+90973.7j,+68000-162449j,+68344.5-161931j,+0+0j
2000-08-02 07:00:00 HDT,+121423+92588j,+977189+373720j,+980149+341459j,+977207+373720j,-0+0j,+0+0j,+120000+90000j,+331799+125763j,+161528+550.094j,+0+0j,+486294+90973.7j,+68000-162449j,+68344.5-161931j,+0+0j
2000-08-02 08:00:00 HDT,+121423+92588j,+977189+373720j,+980149+341459j,+977207+373720j,-0+0j,+0+0j,+120000+90000j,+331799+125763j,+161528+550.094j,+0+0j,+486294+90973.7j,+68000-162449j,+68344.5-161931j,+0+0j
2000-08-02 09:00:00 HDT,+121423+92588j,+977189+373720j,+980149+341459j,+977207+373720j,-0+0j,+0+0j,+120000+90000j,+331799+125763j,+161528+550.094j,+0+0j,+486294+90973.7j,+68000-162449j,+68344.5-161931j,+0+0j
2000-08-02 10:00:00 HDT,+121423+92588j,+977189+373720j,+980149+341459j,+977207+373720j,-0+0j,+0+0j,+120000+90000j,+331799+125763j,+161528+550.094j,+0+0j,+486294+90973.7j,+68000-162449j,+68344.5-161931j,+0+0j
2000-08-02 11:00:00 HDT,+121423+92588j,+977189+373720j,+980149+341459j,+977207+373720j,-0+0j,+0+0j,+120000+90000j,+331799+125763j,+161528+550.094j,+0+0j,+486294+90973.7j,+68000-162449j,+68344.5-161931j,+0+0j
2000-08-02 12:00:00 HDT,+121423+92588j,+977189+373720j,+980149+341459j,+977207+373720j,-0+0j,+0+0j,+120000+90000j,+331799+125763j,+161528+550.094j,+0+0j,+486294+90973.7j,+68000-162449j,+68344.5-161931j,+0+0j
2000-08-02 13:00:00 HDT,+121423+92588j,+977189+373720j,+980149+341459j,+977207+373720j,-0+0j,+0+0j,+120000+90000j,+331799+125763j,+161528+550.094j,+0+0j,+486294+90973.7j,+68000-162449j,+68344.5-161931j,+0+0j
