# file...... power_pv.csv,,,,,,,,,,,,,,,,,,,
# date...... Tue Sep 12 15:20:27 2017,,,,,,,,,,,,,,,,,,,
# user...... ericlinxie,,,,,,,,,,,,,,,,,,,
# host...... (null),,,,,,,,,,,,,,,,,,,
# group..... class=meter,,,,,,,,,,,,,,,,,,,
# property.. measured_power,,,,,,,,,,,,,,,,,,,
# limit..... 0,,,,,,,,,,,,,,,,,,,
# interval.. 0,,,,,,,,,,,,,,,,,,,
# timestamp,m633,m630,m632,m650,m680,m684,m634,m645,m646,m652,m671,m675,m692,m611,,,,,
2000-08-02 00:00:00 HDT,+405434+299881i,+3.59512e+06+1.69721e+06j,+3.5354e+06+1.5046e+06i,+3.59521e+06+1.69721e+06i,+0+0i,+296505+53743.5i,+400000+290000j,+411499+263717j,+240958+138289j,+123974+83295.2i,+2.54569e+06+745897i,+843000-145407i,+1.0269e+06-6974.87i,+171431-30017.4j,,,,,
2000-08-02 01:00:00 HDT,+405434+299881i,+3.59513e+06+1.69721e+06j,+3.5354e+06+1.5046e+06i,+3.59521e+06+1.69721e+06i,+0+0i,+296505+53743.5i,+400000+290000j,+411499+263717j,+240958+138289j,+123974+83295.2i,+2.54569e+06+745897i,+843000-145407i,+1.0269e+06-6974.87i,+171431-30017.4j,,,,,
2000-08-02 02:00:00 HDT,+405434+299881i,+3.59513e+06+1.69721e+06j,+3.5354e+06+1.5046e+06i,+3.59521e+06+1.69721e+06i,+0+0i,+296505+53743.5i,+400000+290000j,+411499+263717j,+240958+138289j,+123974+83295.2i,+2.54569e+06+745897i,+843000-145407i,+1.0269e+06-6974.87i,+171431-30017.4j,,,,,
2000-08-02 03:00:00 HDT,+405434+299881i,+3.59513e+06+1.69721e+06j,+3.5354e+06+1.5046e+06i,+3.59521e+06+1.69721e+06i,+0+0i,+296505+53743.5i,+400000+290000j,+411499+263717j,+240958+138289j,+123974+83295.2i,+2.54569e+06+745897i,+843000-145407i,+1.0269e+06-6974.87i,+171431-30017.4j,,,,,
2000-08-02 04:00:00 HDT,+405434+299881i,+3.59513e+06+1.69721e+06j,+3.5354e+06+1.5046e+06i,+3.59521e+06+1.69721e+06i,+0+0i,+296505+53743.5i,+400000+290000j,+411499+263717j,+240958+138289j,+123974+83295.2i,+2.54569e+06+745897i,+843000-145407i,+1.0269e+06-6974.87i,+171431-30017.4j,,,,,
2000-08-02 05:00:00 HDT,+405434+299881i,+3.59513e+06+1.69721e+06j,+3.5354e+06+1.5046e+06i,+3.59521e+06+1.69721e+06i,+0+0i,+296505+53743.5i,+400000+290000j,+411499+263717j,+240958+138289j,+123974+83295.2i,+2.54569e+06+745897i,+843000-145407i,+1.0269e+06-6974.87i,+171431-30017.4j,,,,,
2000-08-02 06:00:00 HDT,+405406+299828i,+3.14681e+06+1.62559e+06j,+3.09907e+06+1.47184e+06i,+3.14688e+06+1.62559e+06i,-430093-5855.66i,+298308+56025.4i,+400000+290000j,+412360+264211j,+241816+138781j,+125534+84343.5i,+2.11727e+06+741068i,+843000-150694i,+1.02641e+06-9416.55i,+171670-28779.6j,,,,,
2000-08-02 07:00:00 HDT,+405323+299678i,+1.80825e+06+1.43895e+06j,+1.78705e+06+1.3714e+06i,+1.80828e+06+1.43895e+06i,-1.73675e+06-69440.7i,+303567+62857.7i,+400000+290000j,+414885+265662j,+244335+140227j,+130254+87514.8i,+819697+694314i,+843000-166704i,+1.02477e+06-17001.1i,+172197-25106j,,,,,
2000-08-02 08:00:00 HDT,+405293+299624i,+1.12891e+06+1.44489e+06j,+1.11494e+06+1.40111e+06i,+1.12893e+06+1.44489e+06i,-2.41237e+06-49966.7i,+305118+66549.9i,+400000+290000j,+415662+266108j,+245111+140672j,+132245+88852.1i,+149493+732736i,+843000-172436i,+1.02339e+06-18701.3i,+171754-22744.3j,,,,,
2000-08-02 09:00:00 HDT,+405204+299463i,-602285+1.36162e+06j,-611801+1.33309e+06i,-602273+1.36162e+06i,-4.17289e+06-211234i,+310683+75649.5i,+400000+290000j,+418346+267650j,+247789+142209j,+138194+92849i,-1.58753e+06+639312i,+843000-191672i,+1.02041e+06-27387.6i,+171356-17625.1j,,,,,
2000-08-02 10:00:00 HDT,+405148+299361i,-2.25061e+06+1.54043e+06j,-2.27908e+06+1.45182e+06i,-2.25057e+06+1.54043e+06i,-5.90017e+06-291932i,+313528+84900.5i,+400000+290000j,+419637+268392j,+249077+142949j,+143159+96184.9i,-3.28592e+06+662181i,+843000-204655i,+1.01617e+06-30884.9i,+169226-11693.3j,,,,,
2000-08-02 11:00:00 HDT,+405173+299405i,-2.48415e+06+1.84822e+06j,-2.52069e+06+1.73395e+06i,-2.4841e+06+1.84822e+06i,-6.15027e+06-65284.8i,+311022+87063.2i,+400000+290000j,+418041+267475j,+247485+142035j,+142827+95962i,-3.53462e+06+917930i,+843000-198292i,+1.01408e+06-23635.7i,+167058-9303.56j,,,,,
2000-08-02 12:00:00 HDT,+405015+299118i,-6.16274e+06+2.05425e+06j,-6.31728e+06+1.55891e+06i,-6.16252e+06+2.05425e+06i,-1.0204e+07-1.05093e+06i,+321413+106984i,+400000+290000j,+422804+270211j,+252237+144762j,+156577+105200i,-7.48e+06+274463i,+843000-242003i,+1.00579e+06-45487.5i,+163662+1412.7j,,,,,
2000-08-02 13:00:00 HDT,+405156+299375i,-5.40562e+06+3.01045e+06j,-5.54763e+06+2.55571e+06i,-5.40542e+06+3.01045e+06i,-9.37297e+06+44350.6i,+310113+106146i,+400000+290000j,+415372+265942j,+244822+140507j,+151016+101464i,-6.68201e+06+1.34452e+06i,+843000-203318i,+1.00208e+06-12904.6i,+157949+4309.08j,,,,,
2000-08-02 14:00:00 HDT,+405141+299347i,-5.70996e+06+3.00779e+06j,-5.86408e+06+2.51152e+06i,-5.70974e+06+3.00779e+06i,-9.71484e+06-84199.1i,+310810+108191i,+400000+290000j,+415531+266033j,+244980+140597j,+152069+102171i,-7.01304e+06+1.25088e+06i,+843000-207813i,+1.00198e+06-14966.6i,+157593+5651.13j,,,,,
2000-08-02 15:00:00 HDT,+405193+299441i,-4.45032e+06+2.91302e+06j,-4.55632e+06+2.57348e+06i,-4.45017e+06+2.91302e+06i,-8.30716e+06+296436i,+307795+102019i,+400000+290000j,+413875+265082j,+243328+139649j,+148155+99541.8i,-5.6464e+06+1.50026e+06i,+843000-192685i,+1.00475e+06-7305.09i,+158499+2096.18j,,,,,
2000-08-02 16:00:00 HDT,+405174+299408i,-4.04358e+06+2.55445e+06j,-4.12925e+06+2.28048e+06i,-4.04346e+06+2.55445e+06i,-7.84927e+06+131198i,+309242+98653i,+400000+290000j,+415491+266010j,+244940+140574j,+147066+98810i,-5.19877e+06+1.27743e+06i,+843000-197447i,+1.00764e+06-13894.6i,+161037-542.046j,,,,,
2000-08-02 17:00:00 HDT,+405250+299546i,-1.66563e+06+2.19578e+06j,-1.69556e+06+2.10268e+06i,-1.66559e+06+2.19578e+06i,-5.28642e+06+386767i,+305265+84699.5i,+400000+290000j,+414285+265317j,+243737+139884j,+139363+93634.4i,-2.69213e+06+1.33302e+06i,+843000-178507i,+1.01399e+06-8953.03i,+164779-9344.56j,,,,,
2000-08-02 18:00:00 HDT,+405404+299826i,+2.88092e+06+1.70944e+06j,+2.83791e+06+1.57145e+06i,+2.88098e+06+1.70944e+06i,-686934+99556.9i,+297952+57808.1i,+400000+290000j,+412092+264057j,+241548+138628j,+125947+84620.4i,+1.85971e+06+852174i,+843000-150160i,+1.02545e+06-7419.24i,+170903-27270.3j,,,,,
2000-08-02 19:00:00 HDT,+405434+299881i,+3.59513e+06+1.69721e+06j,+3.5354e+06+1.5046e+06i,+3.59521e+06+1.69721e+06i,+0+0i,+296505+53743.5i,+400000+290000j,+411499+263717j,+240958+138289j,+123974+83295.2i,+2.54569e+06+745897i,+843000-145407i,+1.0269e+06-6974.87i,+171431-30017.4j,,,,,
2000-08-02 20:00:00 HDT,+405434+299881i,+3.59513e+06+1.69721e+06j,+3.5354e+06+1.5046e+06i,+3.59521e+06+1.69721e+06i,+0+0i,+296505+53743.5i,+400000+290000j,+411499+263717j,+240958+138289j,+123974+83295.2i,+2.54569e+06+745897i,+843000-145407i,+1.0269e+06-6974.87i,+171431-30017.4j,,,,,
2000-08-02 21:00:00 HDT,+405434+299881i,+3.59513e+06+1.69721e+06j,+3.5354e+06+1.5046e+06i,+3.59521e+06+1.69721e+06i,+0+0i,+296505+53743.5i,+400000+290000j,+411499+263717j,+240958+138289j,+123974+83295.2i,+2.54569e+06+745897i,+843000-145407i,+1.0269e+06-6974.87i,+171431-30017.4j,,,,,
2000-08-02 22:00:00 HDT,+405434+299881i,+3.59513e+06+1.69721e+06j,+3.5354e+06+1.5046e+06i,+3.59521e+06+1.69721e+06i,+0+0i,+296505+53743.5i,+400000+290000j,+411499+263717j,+240958+138289j,+123974+83295.2i,+2.54569e+06+745897i,+843000-145407i,+1.0269e+06-6974.87i,+171431-30017.4j,,,,,
2000-08-02 23:00:00 HDT,+405434+299881i,+3.59513e+06+1.69721e+06j,+3.5354e+06+1.5046e+06i,+3.59521e+06+1.69721e+06i,+0+0i,+296505+53743.5i,+400000+290000j,+411499+263717j,+240958+138289j,+123974+83295.2i,+2.54569e+06+745897i,+843000-145407i,+1.0269e+06-6974.87i,+171431-30017.4j,,,,,
2000-08-03 00:00:00 HDT,+405434+299881i,+3.59513e+06+1.69721e+06j,+3.5354e+06+1.5046e+06i,+3.59521e+06+1.69721e+06i,+0+0i,+296505+53743.5i,+400000+290000j,+411499+263717j,+240958+138289j,+123974+83295.2i,+2.54569e+06+745897i,+843000-145407i,+1.0269e+06-6974.87i,+171431-30017.4j,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
# timestamp,m633,m630,m632,m650,m680,m684,m634,m645,m646,m652,m671,m675,m692,m611,total,solar,slack,rest_of_loads,calculated losses
2000-08-02 00:00:00 HDT,405434,3595120,3535400,3595210,0,296505,400000,411499,240958,123974,2545690,843000,1026900,171431,17191121,0,3595210,13595911,10000701
2000-08-02 01:00:00 HDT,405434,3595130,3535400,3595210,0,296505,400000,411499,240958,123974,2545690,843000,1026900,171431,17191131,0,3595210,13595921,10000711
2000-08-02 02:00:00 HDT,405434,3595130,3535400,3595210,0,296505,400000,411499,240958,123974,2545690,843000,1026900,171431,17191131,0,3595210,13595921,10000711
2000-08-02 03:00:00 HDT,405434,3595130,3535400,3595210,0,296505,400000,411499,240958,123974,2545690,843000,1026900,171431,17191131,0,3595210,13595921,10000711
2000-08-02 04:00:00 HDT,405434,3595130,3535400,3595210,0,296505,400000,411499,240958,123974,2545690,843000,1026900,171431,17191131,0,3595210,13595921,10000711
2000-08-02 05:00:00 HDT,405434,3595130,3535400,3595210,0,296505,400000,411499,240958,123974,2545690,843000,1026900,171431,17191131,0,3595210,13595921,10000711
2000-08-02 06:00:00 HDT,405406,3146810,3099070,3146880,-430093,298308,400000,412360,241816,125534,2117270,843000,1026410,171670,15004441,-430093,3146880,12287654,9570867
2000-08-02 07:00:00 HDT,405323,1808250,1787050,1808280,-1736750,303567,400000,414885,244335,130254,819697,843000,1024770,172197,8424858,-1736750,1808280,8353328,8281798
2000-08-02 08:00:00 HDT,405293,1128910,1114940,1128930,-2412370,305118,400000,415662,245111,132245,149493,843000,1023390,171754,5051476,-2412370,1128930,6334916,7618356
2000-08-02 09:00:00 HDT,405204,-602285,-611801,-602273,-4172890,310683,400000,418346,247789,138194,-1587530,843000,1020410,171356,-3621797,-4172890,-602273,1153366,5928529
2000-08-02 10:00:00 HDT,405148,-2250610,-2279080,-2250570,-5900170,313528,400000,419637,249077,143159,-3285920,843000,1016170,169226,-12007405,-5900170,-2250570,-3856665,4294075
2000-08-02 11:00:00 HDT,405173,-2484150,-2520690,-2484100,-6150270,311022,400000,418041,247485,142827,-3534620,843000,1014080,167058,-13225144,-6150270,-2484100,-4590774,4043596
2000-08-02 12:00:00 HDT,405015,-6162740,-6317280,-6162520,-10204000,321413,400000,422804,252237,156577,-7480000,843000,1005790,163662,-32356042,-10204000,-6162520,-15989522,376998
2000-08-02 13:00:00 HDT,405156,-5405620,-5547630,-5405420,-9372970,310113,400000,415372,244822,151016,-6682010,843000,1002080,157949,-28484142,-9372970,-5405420,-13705752,1072638
2000-08-02 14:00:00 HDT,405141,-5709960,-5864080,-5709740,-9714840,310810,400000,415531,244980,152069,-7013040,843000,1001980,157593,-30080556,-9714840,-5709740,-14655976,768604
