# file...... time_results/switch_power_loss_pv.csv
# date...... Tue Oct 24 17:34:11 2017
# user...... ericlinxie
# host...... (null)
# group..... class=switch
# property.. power_losses
# limit..... 0
# interval.. 0
# timestamp,switch_671-692
2000-08-02 00:00:00 HDT,+4.5357-4.5357i
2000-08-02 01:00:00 HDT,+4.5357-4.5357i
2000-08-02 02:00:00 HDT,+4.5357-4.5357i
2000-08-02 03:00:00 HDT,+4.5357-4.5357i
2000-08-02 04:00:00 HDT,+4.5357-4.5357i
2000-08-02 05:00:00 HDT,+4.5357-4.5357i
2000-08-02 06:00:00 HDT,+4.47573-4.47573i
2000-08-02 07:00:00 HDT,+4.30317-4.30317i
2000-08-02 08:00:00 HDT,+4.23455-4.23455i
2000-08-02 09:00:00 HDT,+4.0402-4.0402i
2000-08-02 10:00:00 HDT,+3.89244-3.89244i
2000-08-02 11:00:00 HDT,+3.90516-3.90516i
2000-08-02 12:00:00 HDT,+3.53854-3.53854i
