# file...... time_results/underground_line_losses_pv.csv
# date...... Sun Dec 10 19:41:19 2017
# user...... ericlinxie
# host...... (null)
# group..... class=underground_line
# property.. power_losses
# limit..... 0
# interval.. 0
# timestamp,line_684-652,line_692-675
2000-08-02 00:00:00 HDT,+683.635+45.6164i,+4127.42+2488.58i
2000-08-02 01:00:00 HDT,+683.635+45.6164i,+4127.42+2488.58i
2000-08-02 02:00:00 HDT,+683.635+45.6164i,+4127.42+2488.58i
2000-08-02 03:00:00 HDT,+683.635+45.6164i,+4127.42+2488.58i
2000-08-02 04:00:00 HDT,+683.635+45.6164i,+4127.42+2488.58i
2000-08-02 05:00:00 HDT,+683.635+45.6164i,+4127.42+2488.58i
2000-08-02 06:00:00 HDT,+692.239+46.1905i,+4073.96+2456.55i
2000-08-02 07:00:00 HDT,+718.267+47.9272i,+3922.87+2365.75i
2000-08-02 08:00:00 HDT,+729.243+48.6596i,+3867.08+2332.03i
2000-08-02 09:00:00 HDT,+762.047+50.8485i,+3706.16+2234.57i
2000-08-02 10:00:00 HDT,+789.426+52.6754i,+3594.89+2165.98i
2000-08-02 11:00:00 HDT,+787.596+52.5533i,+3612.93+2177.24i
2000-08-02 12:00:00 HDT,+863.417+57.6126i,+3331.84+2003.85i
2000-08-02 13:00:00 HDT,+728.539+48.6127i,+4043.08+2585.54i
2000-08-02 14:00:00 HDT,+861.653+57.4948i,+3025.08+1972.1i
2000-08-02 15:00:00 HDT,+690.172+46.0526i,+4430.52+2823.86i
2000-08-02 16:00:00 HDT,+859.001+57.3179i,+3203.11+2043.35i
2000-08-02 17:00:00 HDT,+670.125+44.7149i,+4368.76+2741.32i
2000-08-02 18:00:00 HDT,+691.778+46.1597i,+4032.98+2448.52i
2000-08-02 19:00:00 HDT,+683.635+45.6164i,+4127.42+2488.58i
2000-08-02 20:00:00 HDT,+683.635+45.6164i,+4127.42+2488.58i
2000-08-02 21:00:00 HDT,+683.635+45.6164i,+4127.42+2488.58i
2000-08-02 22:00:00 HDT,+683.635+45.6164i,+4127.42+2488.58i
2000-08-02 23:00:00 HDT,+683.635+45.6164i,+4127.42+2488.58i
2000-08-03 00:00:00 HDT,+683.635+45.6164i,+4127.42+2488.58i
