# file...... time_results/voltageA.csv
# date...... Tue Nov 28 10:27:00 2017
# user...... ericlinxie
# host...... (null)
# group..... class=meter
# property.. voltage_A
# limit..... 0
# interval.. 0
# timestamp,m633,m630,m632,m650,m680,m684,m634,m645,m646,m652,m671,m675,m692,m611
2000-08-02 00:00:00 HDT,+2442.77-108.917i,+2551.84+0.0265859j,+2450.16-106.481i,+2401.78+0i,+2368.08-219.432i,+2363.4-219.799i,+275.057-15.5175j,+0+0j,+0+0j,+2353.98-214.237i,+2368.08-219.432i,+2351.55-228.229i,+2368.07-219.417i,+0+0j
2000-08-02 01:00:00 HDT,+2442.77-108.917i,+2551.84+0.0265859j,+2450.16-106.481i,+2401.78+0i,+2368.08-219.432i,+2363.4-219.799i,+275.057-15.5175j,+0+0j,+0+0j,+2353.98-214.237i,+2368.08-219.432i,+2351.55-228.229i,+2368.07-219.417i,+0+0j
2000-08-02 02:00:00 HDT,+2442.77-108.917i,+2551.84+0.0265859j,+2450.16-106.481i,+2401.78+0i,+2368.08-219.432i,+2363.4-219.799i,+275.057-15.5175j,+0+0j,+0+0j,+2353.98-214.237i,+2368.08-219.432i,+2351.55-228.229i,+2368.07-219.417i,+0+0j
2000-08-02 03:00:00 HDT,+2442.77-108.917i,+2551.84+0.0265859j,+2450.16-106.481i,+2401.78+0i,+2368.08-219.432i,+2363.4-219.799i,+275.057-15.5175j,+0+0j,+0+0j,+2353.98-214.237i,+2368.08-219.432i,+2351.55-228.229i,+2368.07-219.417i,+0+0j
2000-08-02 04:00:00 HDT,+2442.77-108.917i,+2551.84+0.0265859j,+2450.16-106.481i,+2401.78+0i,+2368.08-219.432i,+2363.4-219.799i,+275.057-15.5175j,+0+0j,+0+0j,+2353.98-214.237i,+2368.08-219.432i,+2351.55-228.229i,+2368.07-219.417i,+0+0j
2000-08-02 05:00:00 HDT,+2442.77-108.917i,+2551.84+0.0265859j,+2450.16-106.481i,+2401.78+0i,+2368.08-219.432i,+2363.4-219.799i,+275.057-15.5175j,+0+0j,+0+0j,+2353.98-214.237i,+2368.08-219.432i,+2351.55-228.229i,+2368.07-219.417i,+0+0j
2000-08-02 06:00:00 HDT,+2442.77-108.917i,+2551.84+0.0265859j,+2450.16-106.481i,+2401.78+0i,+2368.08-219.432i,+2363.4-219.799i,+275.057-15.5175j,+0+0j,+0+0j,+2353.98-214.237i,+2368.08-219.432i,+2351.55-228.229i,+2368.07-219.417i,+0+0j
2000-08-02 07:00:00 HDT,+2442.77-108.917i,+2551.84+0.0265859j,+2450.16-106.481i,+2401.78+0i,+2368.08-219.432i,+2363.4-219.799i,+275.057-15.5175j,+0+0j,+0+0j,+2353.98-214.237i,+2368.08-219.432i,+2351.55-228.229i,+2368.07-219.417i,+0+0j
2000-08-02 08:00:00 HDT,+2442.77-108.917i,+2551.84+0.0265859j,+2450.16-106.481i,+2401.78+0i,+2368.08-219.432i,+2363.4-219.799i,+275.057-15.5175j,+0+0j,+0+0j,+2353.98-214.237i,+2368.08-219.432i,+2351.55-228.229i,+2368.07-219.417i,+0+0j
2000-08-02 09:00:00 HDT,+2442.77-108.917i,+2551.84+0.0265859j,+2450.16-106.481i,+2401.78+0i,+2368.08-219.432i,+2363.4-219.799i,+275.057-15.5175j,+0+0j,+0+0j,+2353.98-214.237i,+2368.08-219.432i,+2351.55-228.229i,+2368.07-219.417i,+0+0j
2000-08-02 10:00:00 HDT,+2442.77-108.917i,+2551.84+0.0265859j,+2450.16-106.481i,+2401.78+0i,+2368.08-219.432i,+2363.4-219.799i,+275.057-15.5175j,+0+0j,+0+0j,+2353.98-214.237i,+2368.08-219.432i,+2351.55-228.229i,+2368.07-219.417i,+0+0j
2000-08-02 11:00:00 HDT,+2442.77-108.917i,+2551.84+0.0265859j,+2450.16-106.481i,+2401.78+0i,+2368.08-219.432i,+2363.4-219.799i,+275.057-15.5175j,+0+0j,+0+0j,+2353.98-214.237i,+2368.08-219.432i,+2351.55-228.229i,+2368.07-219.417i,+0+0j
2000-08-02 12:00:00 HDT,+2442.77-108.917i,+2551.84+0.0265859j,+2450.16-106.481i,+2401.78+0i,+2368.08-219.432i,+2363.4-219.799i,+275.057-15.5175j,+0+0j,+0+0j,+2353.98-214.237i,+2368.08-219.432i,+2351.55-228.229i,+2368.07-219.417i,+0+0j
2000-08-02 13:00:00 HDT,+2442.77-108.917i,+2551.84+0.0265859j,+2450.16-106.481i,+2401.78+0i,+2368.08-219.432i,+2363.4-219.799i,+275.057-15.5175j,+0+0j,+0+0j,+2353.98-214.237i,+2368.08-219.432i,+2351.55-228.229i,+2368.07-219.417i,+0+0j
