# file...... time_results/voltageA_pv.csv
# date...... Sun Dec 10 19:41:19 2017
# user...... ericlinxie
# host...... (null)
# group..... class=meter
# property.. voltage_A
# limit..... 0
# interval.. 0
# timestamp,m633,m630,m632,m650,m680,m684,m634,m645,m646,m652,m671,m675,m692,m611
2000-08-02 00:00:00 HDT,+2442.77-108.917i,+2551.84+0.0265859j,+2450.16-106.481i,+2401.78+0i,+2368.08-219.432j,+2363.4-219.799i,+275.057-15.5175j,+0+0j,+0+0j,+2353.98-214.237i,+2368.08-219.432i,+2351.55-228.229i,+2368.07-219.417i,+0+0j
2000-08-02 01:00:00 HDT,+2442.77-108.917i,+2551.84+0.0265859j,+2450.16-106.481i,+2401.78+0i,+2368.08-219.432j,+2363.4-219.799i,+275.057-15.5175j,+0+0j,+0+0j,+2353.98-214.237i,+2368.08-219.432i,+2351.55-228.229i,+2368.07-219.417i,+0+0j
2000-08-02 02:00:00 HDT,+2442.77-108.917i,+2551.84+0.0265859j,+2450.16-106.481i,+2401.78+0i,+2368.08-219.432j,+2363.4-219.799i,+275.057-15.5175j,+0+0j,+0+0j,+2353.98-214.237i,+2368.08-219.432i,+2351.55-228.229i,+2368.07-219.417i,+0+0j
2000-08-02 03:00:00 HDT,+2442.77-108.917i,+2551.84+0.0265859j,+2450.16-106.481i,+2401.78+0i,+2368.08-219.432j,+2363.4-219.799i,+275.057-15.5175j,+0+0j,+0+0j,+2353.98-214.237i,+2368.08-219.432i,+2351.55-228.229i,+2368.07-219.417i,+0+0j
2000-08-02 04:00:00 HDT,+2442.77-108.917i,+2551.84+0.0265859j,+2450.16-106.481i,+2401.78+0i,+2368.08-219.432j,+2363.4-219.799i,+275.057-15.5175j,+0+0j,+0+0j,+2353.98-214.237i,+2368.08-219.432i,+2351.55-228.229i,+2368.07-219.417i,+0+0j
2000-08-02 05:00:00 HDT,+2442.77-108.917i,+2551.84+0.0265859j,+2450.16-106.481i,+2401.78+0i,+2368.08-219.432j,+2363.4-219.799i,+275.057-15.5175j,+0+0j,+0+0j,+2353.98-214.237i,+2368.08-219.432i,+2351.55-228.229i,+2368.07-219.417i,+0+0j
2000-08-02 06:00:00 HDT,+2451.4-96.5735i,+2551.84+0.0253957j,+2458.75-94.1144i,+2401.78+0i,+2388.69-188.292j,+2380.5-195.109i,+276.093-14.1187j,+0+0j,+0+0j,+2370.96-189.616i,+2385.23-194.669i,+2368.96-203.652i,+2385.22-194.654i,+0+0j
2000-08-02 07:00:00 HDT,+2476.35-59.706i,+2551.86+0.0222255j,+2483.58-57.18i,+2401.78+0i,+2448.25-95.3506j,+2429.95-121.369i,+279.085-9.93816j,+0+0j,+0+0j,+2420.05-116.087i,+2434.81-120.711i,+2419.28-130.211i,+2434.8-120.697i,+0+0j
2000-08-02 08:00:00 HDT,+2486.48-41.1446i,+2551.87+0.0219522j,+2493.67-38.5837i,+2401.78+0i,+2472.3-48.4699j,+2450.05-84.2364i,+280.306-7.83449j,+0+0j,+0+0j,+2440-79.0695i,+2454.96-83.4665i,+2439.77-93.2169i,+2454.95-83.453i,+0+0j
2000-08-02 09:00:00 HDT,+2514.7+6.52061i,+2551.89+0.0199054j,+2521.75+9.1629i,+2401.78+0i,+2539.53+71.5945j,+2506+11.0924i,+283.699-2.42469j,+0+0j,+0+0j,+2495.53+15.9718i,+2511.07+12.1465i,+2496.79+1.82051i,+2511.06+12.1592i,+0+0j
2000-08-02 10:00:00 HDT,+2536.17+51.901i,+2551.92+0.0211533j,+2543.1+54.621i,+2401.78+0i,+2590.31+186.024j,+2548.61+101.848i,+286.293+2.72521j,+0+0j,+0+0j,+2537.79+106.433i,+2553.8+103.178i,+2540.31+92.3369i,+2553.79+103.19i,+0+0j
2000-08-02 11:00:00 HDT,+2534.38+58.5382i,+2551.92+0.0244573j,+2541.31+61.2724i,+2401.78+0i,+2585.54+202.994j,+2545.09+115.089i,+286.09+3.47222j,+0+0j,+0+0j,+2534.25+119.612i,+2550.27+116.465i,+2536.81+105.512i,+2550.26+116.477i,+0+0j
2000-08-02 12:00:00 HDT,+2586.52+159.66i,+2551.97+0.0243588j,+2593.17+162.535i,+2401.78+0i,+2709.65+456.944j,+2648.57+317.236i,+292.38+14.9754j,+0+0j,+0+0j,+2636.9+321.119i,+2654.04+319.222i,+2642.46+307.395i,+2654.03+319.232i,+0+0j
2000-08-02 13:00:00 HDT,+2443.15-312.998i,+2551.84+0.027905j,+2450.76-311.672i,+2401.78+0i,+2379.88-738.078j,+2367.71-630.857i,+274.934-38.4755j,+0+0j,+0+0j,+2359.08-623.572i,+2373.05-631.495i,+2356.28-637.851i,+2373.05-631.479i,+0+0j
2000-08-02 14:00:00 HDT,+2585.17+186.69i,+2551.96-0.0230796j,+2591.31+189.488i,+2401.78+0i,+2696.93+517.89j,+2639.09+369.128i,+292.262+18.0317j,+0+0j,+0+0j,+2627.36+372.776i,+2644.56+371.291i,+2633.98+359.684i,+2644.55+371.301i,+0+0j
2000-08-02 15:00:00 HDT,+2391.25-372.934i,+2551.84+0.0302809j,+2399-371.723i,+2401.78+0i,+2253.67-888.511j,+2264.03-749.682i,+268.753-45.2374j,+0+0j,+0+0j,+2256.06-742.106i,+2269.16-750.672i,+2251.3-755.7i,+2269.16-750.656i,+0+0j
2000-08-02 16:00:00 HDT,+2591.05+109.334i,+2551.94-0.0220287j,+2597.32+111.97i,+2401.78+0i,+2715.69+324.366j,+2652.02+214.445i,+292.842+9.28976j,+0+0j,+0+0j,+2640.54+218.763i,+2657.54+216.219i,+2646.03+204.941i,+2657.53+216.23i,+0+0j
2000-08-02 17:00:00 HDT,+2402.57-271.283i,+2551.84+0.029094j,+2410.26-269.589i,+2401.78+0i,+2277.97-630.144j,+2285.84-545.475i,+270.151-33.8115j,+0+0j,+0+0j,+2277.38-538.707i,+2290.78-545.963i,+2273.06-552.342i,+2290.78-545.947i,+0+0j
2000-08-02 18:00:00 HDT,+2452.3-82.9119i,+2551.85+0.0229257j,+2459.6-80.4251i,+2401.78+0i,+2389.73-154.196j,+2381.78-167.881i,+276.214-12.5795j,+0+0j,+0+0j,+2372.18-162.499i,+2386.51-167.366i,+2370.41-176.485i,+2386.5-167.352i,+0+0j
2000-08-02 19:00:00 HDT,+2442.77-108.917i,+2551.84+0.0265859j,+2450.16-106.481i,+2401.78+0i,+2368.08-219.432j,+2363.4-219.799i,+275.057-15.5175j,+0+0j,+0+0j,+2353.98-214.237i,+2368.08-219.432i,+2351.55-228.229i,+2368.07-219.417i,+0+0j
2000-08-02 20:00:00 HDT,+2442.77-108.917i,+2551.84+0.0265859j,+2450.16-106.481i,+2401.78+0i,+2368.08-219.432j,+2363.4-219.799i,+275.057-15.5175j,+0+0j,+0+0j,+2353.98-214.237i,+2368.08-219.432i,+2351.55-228.229i,+2368.07-219.417i,+0+0j
2000-08-02 21:00:00 HDT,+2442.77-108.917i,+2551.84+0.0265859j,+2450.16-106.481i,+2401.78+0i,+2368.08-219.432j,+2363.4-219.799i,+275.057-15.5175j,+0+0j,+0+0j,+2353.98-214.237i,+2368.08-219.432i,+2351.55-228.229i,+2368.07-219.417i,+0+0j
2000-08-02 22:00:00 HDT,+2442.77-108.917i,+2551.84+0.0265859j,+2450.16-106.481i,+2401.78+0i,+2368.08-219.432j,+2363.4-219.799i,+275.057-15.5175j,+0+0j,+0+0j,+2353.98-214.237i,+2368.08-219.432i,+2351.55-228.229i,+2368.07-219.417i,+0+0j
2000-08-02 23:00:00 HDT,+2442.77-108.917i,+2551.84+0.0265859j,+2450.16-106.481i,+2401.78+0i,+2368.08-219.432j,+2363.4-219.799i,+275.057-15.5175j,+0+0j,+0+0j,+2353.98-214.237i,+2368.08-219.432i,+2351.55-228.229i,+2368.07-219.417i,+0+0j
2000-08-03 00:00:00 HDT,+2442.77-108.917i,+2551.84+0.0265859j,+2450.16-106.481i,+2401.78+0i,+2368.08-219.432j,+2363.4-219.799i,+275.057-15.5175j,+0+0j,+0+0j,+2353.98-214.237i,+2368.08-219.432i,+2351.55-228.229i,+2368.07-219.417i,+0+0j
