# file...... time_results/voltageB_pv.csv
# date...... Sun Dec 10 19:41:19 2017
# user...... ericlinxie
# host...... (null)
# group..... class=meter
# property.. voltage_B
# limit..... 0
# interval.. 0
# timestamp,m633,m630,m632,m650,m680,m684,m634,m645,m646,m652,m671,m675,m692,m611
2000-08-02 00:00:00 HDT,-1314.77-2123.16j,-1260.9-2183.97j,-1315.48-2128.07j,-1200.89-2080j,-1352.2-2135.1j,+0+0j,-150.938-239.459j,-1310.51-2105.22j,-1311.08-2099.95j,+0+0j,-1352.2-2135.1j,-1361.83-2135.75j,-1352.2-2135.1j,+0+0j
2000-08-02 01:00:00 HDT,-1314.77-2123.16j,-1260.9-2183.97j,-1315.48-2128.07j,-1200.89-2080j,-1352.2-2135.1j,+0+0j,-150.938-239.459j,-1310.51-2105.22j,-1311.08-2099.95j,+0+0j,-1352.2-2135.1j,-1361.83-2135.75j,-1352.2-2135.1j,+0+0j
2000-08-02 02:00:00 HDT,-1314.77-2123.16j,-1260.9-2183.97j,-1315.48-2128.07j,-1200.89-2080j,-1352.2-2135.1j,+0+0j,-150.938-239.459j,-1310.51-2105.22j,-1311.08-2099.95j,+0+0j,-1352.2-2135.1j,-1361.83-2135.75j,-1352.2-2135.1j,+0+0j
2000-08-02 03:00:00 HDT,-1314.77-2123.16j,-1260.9-2183.97j,-1315.48-2128.07j,-1200.89-2080j,-1352.2-2135.1j,+0+0j,-150.938-239.459j,-1310.51-2105.22j,-1311.08-2099.95j,+0+0j,-1352.2-2135.1j,-1361.83-2135.75j,-1352.2-2135.1j,+0+0j
2000-08-02 04:00:00 HDT,-1314.77-2123.16j,-1260.9-2183.97j,-1315.48-2128.07j,-1200.89-2080j,-1352.2-2135.1j,+0+0j,-150.938-239.459j,-1310.51-2105.22j,-1311.08-2099.95j,+0+0j,-1352.2-2135.1j,-1361.83-2135.75j,-1352.2-2135.1j,+0+0j
2000-08-02 05:00:00 HDT,-1314.77-2123.16j,-1260.9-2183.97j,-1315.48-2128.07j,-1200.89-2080j,-1352.2-2135.1j,+0+0j,-150.938-239.459j,-1310.51-2105.22j,-1311.08-2099.95j,+0+0j,-1352.2-2135.1j,-1361.83-2135.75j,-1352.2-2135.1j,+0+0j
2000-08-02 06:00:00 HDT,-1304.84-2131.36j,-1260.9-2183.98j,-1305.52-2136.28j,-1200.89-2080j,-1326.85-2155.33j,+0+0j,-149.82-240.406j,-1300.68-2113.41j,-1301.28-2108.12j,+0+0j,-1331.93-2151.46j,-1341.51-2152.21j,-1331.93-2151.45j,+0+0j
2000-08-02 07:00:00 HDT,-1274.66-2155.7j,-1260.91-2183.99j,-1275.28-2160.65j,-1200.89-2080j,-1249.91-2215.32j,+0+0j,-146.425-243.216j,-1270.83-2137.68j,-1271.52-2132.39j,+0+0j,-1270.41-2199.96j,-1279.84-2200.99j,-1270.41-2199.95j,+0+0j
2000-08-02 08:00:00 HDT,-1256.87-2167.51j,-1260.92-2184j,-1257.45-2172.47j,-1200.89-2080j,-1204.6-2244.39j,+0+0j,-144.42-244.576j,-1253.2-2149.47j,-1253.95-2144.17j,+0+0j,-1234.2-2223.49j,-1243.55-2224.68j,-1234.19-2223.48j,+0+0j
2000-08-02 09:00:00 HDT,-1214.16-2197.61j,-1260.93-2184.02j,-1214.64-2202.6j,-1200.89-2080j,-1095.77-2318.43j,+0+0j,-139.607-248.049j,-1210.91-2179.5j,-1211.78-2174.19j,+0+0j,-1147.2-2283.41j,-1156.36-2284.97j,-1147.2-2283.4j,+0+0j
2000-08-02 10:00:00 HDT,-1166.15-2223.79j,-1260.94-2184.04j,-1166.53-2228.82j,-1200.89-2080j,-973.654-2382.71j,+0+0j,-134.188-251.061j,-1163.31-2205.62j,-1164.3-2200.31j,+0+0j,-1049.56-2335.53j,-1058.55-2337.46j,-1049.56-2335.52j,+0+0j
2000-08-02 11:00:00 HDT,-1150.59-2223.14j,-1260.94-2184.05j,-1150.95-2228.2j,-1200.89-2080j,-934.324-2381.14j,+0+0j,-132.421-250.967j,-1147.82-2204.97j,-1148.84-2199.68j,+0+0j,-1018.09-2334.34j,-1027.04-2336.37j,-1018.09-2334.34j,+0+0j
2000-08-02 12:00:00 HDT,-1049.35-2280.97j,-1260.95-2184.09j,-1049.48-2286.09j,-1200.89-2080j,-676.651-2522.83j,+0+0j,-120.998-257.647j,-1047.5-2262.71j,-1048.78-2257.43j,+0+0j,-812.108-2449.24j,-820.635-2451.98j,-812.108-2449.23j,+0+0j
2000-08-02 13:00:00 HDT,-1085.69-2485.85j,-1260.94-2184.09j,-1085.36-2490.86j,-1200.89-2080j,-755.781-3031.42j,+0+0j,-125.303-281.712j,-1083.88-2468.53j,-1085.13-2463.27j,+0+0j,-882.613-2855.95j,-893.003-2857.23j,-882.615-2855.94j,+0+0j
2000-08-02 14:00:00 HDT,-1348.96-2019.73j,-1260.9-2183.97j,-1350.5-2024.96j,-1200.89-2080j,-1449.32-1883.44j,+0+0j,-154.663-227.395j,-1345.42-2002.51j,-1346.32-1997.58j,+0+0j,-1426.84-1930.73j,-1433.83-1931.73j,-1426.84-1930.73j,+0+0j
2000-08-02 15:00:00 HDT,-1216.53-2619.51j,-1260.98-2184.07j,-1216.28-2624.1j,-1200.89-2080j,-1083.66-3359.55j,+0+0j,-140.291-297.454j,-1214.48-2602.47j,-1215.58-2597.08j,+0+0j,-1146.52-3119.94j,-1157.98-3120.77j,-1146.53-3119.94j,+0+0j
2000-08-02 16:00:00 HDT,-1326.83-2054.37j,-1260.9-2183.97j,-1328.19-2059.57j,-1200.89-2080j,-1391.86-1968.36j,+0+0j,-152.203-231.417j,-1323.26-2037.04j,-1324.1-2032.06j,+0+0j,-1381.09-1999.55j,-1388.57-2000.8j,-1381.09-1999.54j,+0+0j
2000-08-02 17:00:00 HDT,-1254.14-2427.46j,-1260.95-2184.03j,-1254.18-2432.17j,-1200.89-2080j,-1184.68-2885.11j,+0+0j,-144.409-275.021j,-1251.34-2410.06j,-1252.26-2404.72j,+0+0j,-1224.5-2738.6j,-1235.38-2739.27j,-1224.5-2738.59j,+0+0j
2000-08-02 18:00:00 HDT,-1318.32-2112.17j,-1260.9-2183.97j,-1319.1-2117.1j,-1200.89-2080j,-1362.1-2108.21j,+0+0j,-151.325-238.177j,-1314.1-2094.27j,-1314.7-2089.02j,+0+0j,-1359.8-2113.35j,-1369.23-2114.04j,-1359.8-2113.35j,+0+0j
2000-08-02 19:00:00 HDT,-1314.77-2123.16j,-1260.9-2183.97j,-1315.48-2128.07j,-1200.89-2080j,-1352.2-2135.1j,+0+0j,-150.938-239.459j,-1310.51-2105.22j,-1311.08-2099.95j,+0+0j,-1352.2-2135.1j,-1361.83-2135.75j,-1352.2-2135.1j,+0+0j
2000-08-02 20:00:00 HDT,-1314.77-2123.16j,-1260.9-2183.97j,-1315.48-2128.07j,-1200.89-2080j,-1352.2-2135.1j,+0+0j,-150.938-239.459j,-1310.51-2105.22j,-1311.08-2099.95j,+0+0j,-1352.2-2135.1j,-1361.83-2135.75j,-1352.2-2135.1j,+0+0j
