# file...... time_results/voltageB_pv_control.csv
# date...... Wed Jan 24 09:50:42 2018
# user...... ericlinxie
# host...... (null)
# group..... class=meter
# property.. voltage_B
# limit..... 0
# interval.. 0
# timestamp,m633,m630,m632,m650,m680,m684,m634,m645,m646,m652,m671,m675,m692,m611
2000-08-02 00:00:00 HDT,-1314.77-2123.16j,-1260.9-2183.97j,-1315.48-2128.07j,-1200.89-2080j,-1352.2-2135.1j,+0+0j,-150.938-239.459j,-1310.51-2105.22j,-1311.08-2099.95j,+0+0j,-1352.2-2135.1j,-1361.83-2135.75j,-1352.2-2135.1j,+0+0j
2000-08-02 01:00:00 HDT,-1314.77-2123.16j,-1260.9-2183.97j,-1315.48-2128.07j,-1200.89-2080j,-1352.2-2135.1j,+0+0j,-150.938-239.459j,-1310.51-2105.22j,-1311.08-2099.95j,+0+0j,-1352.2-2135.1j,-1361.83-2135.75j,-1352.2-2135.1j,+0+0j
2000-08-02 02:00:00 HDT,-1314.77-2123.16j,-1260.9-2183.97j,-1315.48-2128.07j,-1200.89-2080j,-1352.2-2135.1j,+0+0j,-150.938-239.459j,-1310.51-2105.22j,-1311.08-2099.95j,+0+0j,-1352.2-2135.1j,-1361.83-2135.75j,-1352.2-2135.1j,+0+0j
2000-08-02 03:00:00 HDT,-1314.77-2123.16j,-1260.9-2183.97j,-1315.48-2128.07j,-1200.89-2080j,-1352.2-2135.1j,+0+0j,-150.938-239.459j,-1310.51-2105.22j,-1311.08-2099.95j,+0+0j,-1352.2-2135.1j,-1361.83-2135.75j,-1352.2-2135.1j,+0+0j
2000-08-02 04:00:00 HDT,-1314.77-2123.16j,-1260.9-2183.97j,-1315.48-2128.07j,-1200.89-2080j,-1352.2-2135.1j,+0+0j,-150.938-239.459j,-1310.51-2105.22j,-1311.08-2099.95j,+0+0j,-1352.2-2135.1j,-1361.83-2135.75j,-1352.2-2135.1j,+0+0j
2000-08-02 05:00:00 HDT,-1314.77-2123.16j,-1260.9-2183.97j,-1315.48-2128.07j,-1200.89-2080j,-1352.2-2135.1j,+0+0j,-150.938-239.459j,-1310.51-2105.22j,-1311.08-2099.95j,+0+0j,-1352.2-2135.1j,-1361.83-2135.75j,-1352.2-2135.1j,+0+0j
2000-08-02 06:00:00 HDT,-1304.84-2131.36j,-1260.9-2183.98j,-1305.52-2136.28j,-1200.89-2080j,-1326.85-2155.33j,+0+0j,-149.82-240.406j,-1300.68-2113.41j,-1301.28-2108.12j,+0+0j,-1331.93-2151.46j,-1341.51-2152.21j,-1331.93-2151.45j,+0+0j
2000-08-02 07:00:00 HDT,-1274.66-2155.7j,-1260.91-2183.99j,-1275.28-2160.65j,-1200.89-2080j,-1249.91-2215.32j,+0+0j,-146.425-243.216j,-1270.83-2137.68j,-1271.52-2132.39j,+0+0j,-1270.41-2199.96j,-1279.84-2200.99j,-1270.41-2199.95j,+0+0j
2000-08-02 08:00:00 HDT,-1256.87-2167.51j,-1260.92-2184j,-1257.45-2172.47j,-1200.89-2080j,-1204.6-2244.39j,+0+0j,-144.42-244.576j,-1253.2-2149.47j,-1253.95-2144.17j,+0+0j,-1234.2-2223.49j,-1243.55-2224.68j,-1234.19-2223.48j,+0+0j
2000-08-02 09:00:00 HDT,-1214.16-2197.61j,-1260.93-2184.02j,-1214.64-2202.6j,-1200.89-2080j,-1095.77-2318.43j,+0+0j,-139.607-248.049j,-1210.91-2179.5j,-1211.78-2174.19j,+0+0j,-1147.2-2283.41j,-1156.36-2284.97j,-1147.2-2283.4j,+0+0j
2000-08-02 10:00:00 HDT,-1166.15-2223.79j,-1260.94-2184.04j,-1166.53-2228.82j,-1200.89-2080j,-973.654-2382.71j,+0+0j,-134.188-251.061j,-1163.31-2205.62j,-1164.3-2200.31j,+0+0j,-1049.56-2335.53j,-1058.55-2337.46j,-1049.56-2335.52j,+0+0j
2000-08-02 11:00:00 HDT,-1150.59-2223.14j,-1260.94-2184.05j,-1150.95-2228.2j,-1200.89-2080j,-934.324-2381.14j,+0+0j,-132.421-250.967j,-1147.82-2204.97j,-1148.84-2199.68j,+0+0j,-1018.1-2334.34j,-1027.04-2336.37j,-1018.09-2334.34j,+0+0j
2000-08-02 12:00:00 HDT,-1049.35-2280.97j,-1260.95-2184.09j,-1049.48-2286.09j,-1200.89-2080j,-676.649-2522.83j,+0+0j,-120.998-257.647j,-1047.5-2262.71j,-1048.78-2257.43j,+0+0j,-812.107-2449.24j,-820.633-2451.98j,-812.107-2449.23j,+0+0j
2000-08-02 13:00:00 HDT,-1034.69-2251.28j,-1260.94-2184.09j,-1034.83-2256.48j,-1200.89-2080j,-640.411-2450j,+0+0j,-119.306-254.144j,-1032.71-2233.01j,-1033.95-2227.81j,+0+0j,-782.926-2390.58j,-791.44-2393.41j,-782.926-2390.57j,+0+0j
2000-08-02 14:00:00 HDT,-1027.14-2254.05j,-1260.94-2184.09j,-1027.26-2259.27j,-1200.89-2080j,-620.996-2456.98j,+0+0j,-118.453-254.462j,-1025.24-2235.79j,-1026.51-2230.59j,+0+0j,-767.533-2396.16j,-775.992-2398.98j,-767.533-2396.16j,+0+0j
2000-08-02 15:00:00 HDT,-1060.14-2236.6j,-1260.93-2184.08j,-1060.34-2241.79j,-1200.89-2080j,-705.177-2414.26j,+0+0j,-122.176-252.446j,-1057.94-2218.36j,-1059.11-2213.16j,+0+0j,-834.741-2361.51j,-843.348-2364.15j,-834.741-2361.51j,+0+0j
2000-08-02 16:00:00 HDT,-1084.3-2236.4j,-1260.93-2184.07j,-1084.54-2241.56j,-1200.89-2080j,-766.202-2413.85j,+0+0j,-124.916-252.448j,-1081.98-2218.19j,-1083.12-2212.96j,+0+0j,-883.66-2361.01j,-892.353-2363.46j,-883.66-2361.01j,+0+0j
2000-08-02 17:00:00 HDT,-1158.5-2203.66j,-1260.93-2184.04j,-1158.9-2208.74j,-1200.89-2080j,-954.913-2333.44j,+0+0j,-133.296-248.69j,-1155.57-2185.51j,-1156.53-2180.26j,+0+0j,-1034.5-2295.78j,-1043.5-2297.72j,-1034.5-2295.77j,+0+0j
2000-08-02 18:00:00 HDT,-1295.39-2135.01j,-1260.9-2183.98j,-1296.06-2139.94j,-1200.89-2080j,-1302.87-2164.34j,+0+0j,-148.751-240.819j,-1291.3-2117.04j,-1291.92-2111.76j,+0+0j,-1312.76-2158.76j,-1322.31-2159.59j,-1312.76-2158.76j,+0+0j
2000-08-02 19:00:00 HDT,-1314.77-2123.16j,-1260.9-2183.97j,-1315.48-2128.07j,-1200.89-2080j,-1352.2-2135.1j,+0+0j,-150.938-239.459j,-1310.51-2105.22j,-1311.08-2099.95j,+0+0j,-1352.2-2135.1j,-1361.83-2135.75j,-1352.2-2135.1j,+0+0j
2000-08-02 20:00:00 HDT,-1314.77-2123.16j,-1260.9-2183.97j,-1315.48-2128.07j,-1200.89-2080j,-1352.2-2135.1j,+0+0j,-150.938-239.459j,-1310.51-2105.22j,-1311.08-2099.95j,+0+0j,-1352.2-2135.1j,-1361.83-2135.75j,-1352.2-2135.1j,+0+0j
