# file...... time_results/voltageC.csv
# date...... Tue Feb 27 16:13:22 2018
# user...... ericlinxie
# host...... (null)
# group..... class=meter
# property.. voltage_C
# limit..... 0
# interval.. 0
# timestamp,m633,m630,m632,m650,m680,m684,m634,m645,m646,m652,m671,m675,m692,m611
2000-08-02 00:00:00 HDT,-1137.36+2159.06j,-1283.45+2222.94j,-1140.43+2164.52j,-1200.89+2080j,-1029.63+2117.24j,-1023.36+2115.17j,-126.759+245.578j,-1139.24+2159.78j,-1138.63+2154.5j,+0+0j,-1029.63+2117.24j,-1028.16+2112.87j,-1029.63+2117.23j,-1015.48+2113.92j
2000-08-02 01:00:00 HDT,-1137.36+2159.06j,-1283.45+2222.94j,-1140.43+2164.52j,-1200.89+2080j,-1029.63+2117.24j,-1023.36+2115.17j,-126.759+245.578j,-1139.24+2159.78j,-1138.63+2154.5j,+0+0j,-1029.63+2117.24j,-1028.16+2112.87j,-1029.63+2117.23j,-1015.48+2113.92j
2000-08-02 02:00:00 HDT,-1137.36+2159.06j,-1283.45+2222.94j,-1140.43+2164.52j,-1200.89+2080j,-1029.63+2117.24j,-1023.36+2115.17j,-126.759+245.578j,-1139.24+2159.78j,-1138.63+2154.5j,+0+0j,-1029.63+2117.24j,-1028.16+2112.87j,-1029.63+2117.23j,-1015.48+2113.92j
2000-08-02 03:00:00 HDT,-1137.36+2159.06j,-1283.45+2222.94j,-1140.43+2164.52j,-1200.89+2080j,-1029.63+2117.24j,-1023.36+2115.17j,-126.759+245.578j,-1139.24+2159.78j,-1138.63+2154.5j,+0+0j,-1029.63+2117.24j,-1028.16+2112.87j,-1029.63+2117.23j,-1015.48+2113.92j
2000-08-02 04:00:00 HDT,-1137.36+2159.06j,-1283.45+2222.94j,-1140.43+2164.52j,-1200.89+2080j,-1029.63+2117.24j,-1023.36+2115.17j,-126.759+245.578j,-1139.24+2159.78j,-1138.63+2154.5j,+0+0j,-1029.63+2117.24j,-1028.16+2112.87j,-1029.63+2117.23j,-1015.48+2113.92j
2000-08-02 05:00:00 HDT,-1137.36+2159.06j,-1283.45+2222.94j,-1140.43+2164.52j,-1200.89+2080j,-1029.63+2117.24j,-1023.36+2115.17j,-126.759+245.578j,-1139.24+2159.78j,-1138.63+2154.5j,+0+0j,-1029.63+2117.24j,-1028.16+2112.87j,-1029.63+2117.23j,-1015.48+2113.92j
2000-08-02 06:00:00 HDT,-1137.36+2159.06j,-1283.45+2222.94j,-1140.43+2164.52j,-1200.89+2080j,-1029.63+2117.24j,-1023.36+2115.17j,-126.759+245.578j,-1139.24+2159.78j,-1138.63+2154.5j,+0+0j,-1029.63+2117.24j,-1028.16+2112.87j,-1029.63+2117.23j,-1015.48+2113.92j
2000-08-02 07:00:00 HDT,-1137.36+2159.06j,-1283.45+2222.94j,-1140.43+2164.52j,-1200.89+2080j,-1029.63+2117.24j,-1023.36+2115.17j,-126.759+245.578j,-1139.24+2159.78j,-1138.63+2154.5j,+0+0j,-1029.63+2117.24j,-1028.16+2112.87j,-1029.63+2117.23j,-1015.48+2113.92j
2000-08-02 08:00:00 HDT,-1137.36+2159.06j,-1283.45+2222.94j,-1140.43+2164.52j,-1200.89+2080j,-1029.63+2117.24j,-1023.36+2115.17j,-126.759+245.578j,-1139.24+2159.78j,-1138.63+2154.5j,+0+0j,-1029.63+2117.24j,-1028.16+2112.87j,-1029.63+2117.23j,-1015.48+2113.92j
2000-08-02 09:00:00 HDT,-1137.36+2159.06j,-1283.45+2222.94j,-1140.43+2164.52j,-1200.89+2080j,-1029.63+2117.24j,-1023.36+2115.17j,-126.759+245.578j,-1139.24+2159.78j,-1138.63+2154.5j,+0+0j,-1029.63+2117.24j,-1028.16+2112.87j,-1029.63+2117.23j,-1015.48+2113.92j
2000-08-02 10:00:00 HDT,-1137.36+2159.06j,-1283.45+2222.94j,-1140.43+2164.52j,-1200.89+2080j,-1029.63+2117.24j,-1023.36+2115.17j,-126.759+245.578j,-1139.24+2159.78j,-1138.63+2154.5j,+0+0j,-1029.63+2117.24j,-1028.16+2112.87j,-1029.63+2117.23j,-1015.48+2113.92j
