# file...... time_results/voltageC_pv.csv
# date...... Sun Dec 10 19:41:19 2017
# user...... ericlinxie
# host...... (null)
# group..... class=meter
# property.. voltage_C
# limit..... 0
# interval.. 0
# timestamp,m633,m630,m632,m650,m680,m684,m634,m645,m646,m652,m671,m675,m692,m611
2000-08-02 00:00:00 HDT,-1137.36+2159.06j,-1283.45+2222.94j,-1140.43+2164.52j,-1200.89+2080j,-1029.63+2117.24j,-1023.36+2115.17j,-126.759+245.578j,-1139.24+2159.78j,-1138.63+2154.5j,+0+0j,-1029.63+2117.24j,-1028.16+2112.87j,-1029.63+2117.23j,-1015.48+2113.92j
2000-08-02 01:00:00 HDT,-1137.36+2159.06j,-1283.45+2222.94j,-1140.43+2164.52j,-1200.89+2080j,-1029.63+2117.24j,-1023.36+2115.17j,-126.759+245.578j,-1139.24+2159.78j,-1138.63+2154.5j,+0+0j,-1029.63+2117.24j,-1028.16+2112.87j,-1029.63+2117.23j,-1015.48+2113.92j
2000-08-02 02:00:00 HDT,-1137.36+2159.06j,-1283.45+2222.94j,-1140.43+2164.52j,-1200.89+2080j,-1029.63+2117.24j,-1023.36+2115.17j,-126.759+245.578j,-1139.24+2159.78j,-1138.63+2154.5j,+0+0j,-1029.63+2117.24j,-1028.16+2112.87j,-1029.63+2117.23j,-1015.48+2113.92j
2000-08-02 03:00:00 HDT,-1137.36+2159.06j,-1283.45+2222.94j,-1140.43+2164.52j,-1200.89+2080j,-1029.63+2117.24j,-1023.36+2115.17j,-126.759+245.578j,-1139.24+2159.78j,-1138.63+2154.5j,+0+0j,-1029.63+2117.24j,-1028.16+2112.87j,-1029.63+2117.23j,-1015.48+2113.92j
2000-08-02 04:00:00 HDT,-1137.36+2159.06j,-1283.45+2222.94j,-1140.43+2164.52j,-1200.89+2080j,-1029.63+2117.24j,-1023.36+2115.17j,-126.759+245.578j,-1139.24+2159.78j,-1138.63+2154.5j,+0+0j,-1029.63+2117.24j,-1028.16+2112.87j,-1029.63+2117.23j,-1015.48+2113.92j
2000-08-02 05:00:00 HDT,-1137.36+2159.06j,-1283.45+2222.94j,-1140.43+2164.52j,-1200.89+2080j,-1029.63+2117.24j,-1023.36+2115.17j,-126.759+245.578j,-1139.24+2159.78j,-1138.63+2154.5j,+0+0j,-1029.63+2117.24j,-1028.16+2112.87j,-1029.63+2117.23j,-1015.48+2113.92j
2000-08-02 06:00:00 HDT,-1152.44+2159.46j,-1283.45+2222.95j,-1155.54+2164.88j,-1200.89+2080j,-1067.42+2117.07j,-1053.63+2115.66j,-128.494+245.659j,-1154.31+2160.12j,-1153.67+2154.84j,+0+0j,-1059.86+2117.71j,-1058.32+2113.44j,-1059.86+2117.69j,-1045.79+2114.45j
2000-08-02 07:00:00 HDT,-1197.2+2159.45j,-1283.45+2222.96j,-1200.36+2164.76j,-1200.89+2080j,-1179.5+2113.7j,-1143.47+2114.75j,-133.643+245.762j,-1199.03+2159.97j,-1198.29+2154.67j,+0+0j,-1149.57+2116.75j,-1147.82+2112.77j,-1149.57+2116.74j,-1135.74+2113.65j
2000-08-02 08:00:00 HDT,-1218.51+2155.02j,-1283.46+2222.97j,-1221.7+2160.27j,-1200.89+2080j,-1233.02+2101.08j,-1186.28+2105.42j,-136.086+245.298j,-1220.33+2155.48j,-1219.54+2150.18j,+0+0j,-1192.32+2107.41j,-1190.47+2103.53j,-1192.32+2107.4j,-1178.63+2104.37j
2000-08-02 09:00:00 HDT,-1274.63+2148.24j,-1283.47+2222.99j,-1277.9+2153.35j,-1200.89+2080j,-1373.49+2080.06j,-1298.93+2090.71j,-142.533+244.642j,-1276.41+2148.53j,-1275.49+2143.22j,+0+0j,-1304.8+2092.66j,-1302.72+2089.11j,-1304.8+2092.64j,-1291.44+2089.79j
2000-08-02 10:00:00 HDT,-1324.14+2130.92j,-1283.48+2223.01j,-1327.51+2135.9j,-1200.89+2080j,-1497.75+2033.21j,-1398.43+2054.94j,-148.202+242.751j,-1325.9+2131.1j,-1324.86+2125.8j,+0+0j,-1404.13+2056.88j,-1401.85+2053.54j,-1404.13+2056.87j,-1391.12+2054.1j
