# file...... transformer_power_loss_pv.csv
# date...... Sun Sep 17 16:44:52 2017
# user...... ericlinxie
# host...... (null)
# group..... class=transformer
# property.. power_losses
# limit..... 0
# interval.. 0
# timestamp,transformer_633-634
2000-08-02 00:00:00 HDT,+5434.44+9880.81i
2000-08-02 01:00:00 HDT,+5434.44+9880.81i
2000-08-02 02:00:00 HDT,+5434.44+9880.81i
2000-08-02 03:00:00 HDT,+5434.44+9880.81i
2000-08-02 04:00:00 HDT,+5434.44+9880.81i
2000-08-02 05:00:00 HDT,+5434.44+9880.81i
2000-08-02 06:00:00 HDT,+5405.54+9828.25i
2000-08-02 07:00:00 HDT,+5322.71+9677.65i
2000-08-02 08:00:00 HDT,+5293.22+9624.03i
2000-08-02 09:00:00 HDT,+5204.45+9462.64i
2000-08-02 10:00:00 HDT,+5148.47+9360.85i
2000-08-02 11:00:00 HDT,+5172.67+9404.85i
2000-08-02 12:00:00 HDT,+5014.7+9117.63i
2000-08-02 13:00:00 HDT,+5156.23+9374.96i
2000-08-02 14:00:00 HDT,+5140.93+9347.15i
2000-08-02 15:00:00 HDT,+5192.62+9441.12i
2000-08-02 16:00:00 HDT,+5174.23+9407.69i
2000-08-02 17:00:00 HDT,+5250.3+9546.01i
2000-08-02 18:00:00 HDT,+5404.45+9826.28i
2000-08-02 19:00:00 HDT,+5434.44+9880.81i
2000-08-02 20:00:00 HDT,+5434.44+9880.81i
2000-08-02 21:00:00 HDT,+5434.44+9880.81i
2000-08-02 22:00:00 HDT,+5434.44+9880.81i
2000-08-02 23:00:00 HDT,+5434.44+9880.81i
2000-08-03 00:00:00 HDT,+5434.44+9880.81i
