# file...... underground_line_losses_pv.csv
# date...... Sun Sep 17 16:44:52 2017
# user...... ericlinxie
# host...... (null)
# group..... class=underground_line
# property.. power_losses
# limit..... 0
# interval.. 0
# timestamp,line_684-652,line_692-675
2000-08-02 00:00:00 HDT,+683.635+45.6164i,+4127.42+2488.58i
2000-08-02 01:00:00 HDT,+683.635+45.6164i,+4127.42+2488.58i
2000-08-02 02:00:00 HDT,+683.635+45.6164i,+4127.42+2488.58i
2000-08-02 03:00:00 HDT,+683.635+45.6164i,+4127.42+2488.58i
2000-08-02 04:00:00 HDT,+683.635+45.6164i,+4127.42+2488.58i
2000-08-02 05:00:00 HDT,+683.635+45.6164i,+4127.42+2488.58i
2000-08-02 06:00:00 HDT,+692.239+46.1904i,+4073.96+2456.55i
2000-08-02 07:00:00 HDT,+718.267+47.9272i,+3922.87+2365.75i
2000-08-02 08:00:00 HDT,+729.243+48.6596i,+3867.08+2332.03i
2000-08-02 09:00:00 HDT,+762.046+50.8485i,+3706.16+2234.57i
2000-08-02 10:00:00 HDT,+789.426+52.6755i,+3594.89+2165.98i
2000-08-02 11:00:00 HDT,+787.597+52.5534i,+3612.93+2177.24i
2000-08-02 12:00:00 HDT,+863.416+57.6124i,+3331.84+2003.85i
2000-08-02 13:00:00 HDT,+832.753+55.5664i,+3485.43+2094.51i
2000-08-02 14:00:00 HDT,+838.557+55.9537i,+3444.63+2076.95i
2000-08-02 15:00:00 HDT,+816.977+54.5138i,+3545.31+2134.74i
2000-08-02 16:00:00 HDT,+810.97+54.1129i,+3542.76+2137.34i
2000-08-02 17:00:00 HDT,+768.492+51.2786i,+3716.37+2241.55i
2000-08-02 18:00:00 HDT,+694.511+46.3421i,+4064.96+2451.71i
2000-08-02 19:00:00 HDT,+683.635+45.6164i,+4127.42+2488.58i
2000-08-02 20:00:00 HDT,+683.635+45.6164i,+4127.42+2488.58i
2000-08-02 21:00:00 HDT,+683.635+45.6164i,+4127.42+2488.58i
2000-08-02 22:00:00 HDT,+683.635+45.6164i,+4127.42+2488.58i
2000-08-02 23:00:00 HDT,+683.635+45.6164i,+4127.42+2488.58i
2000-08-03 00:00:00 HDT,+683.635+45.6164i,+4127.42+2488.58i
