# file...... voltageA_pv.csv,,,,,,,,,,,,,,
# date...... Mon Sep 11 19:47:46 2017,,,,,,,,,,,,,,
# user...... ericlinxie,,,,,,,,,,,,,,
# host...... (null),,,,,,,,,,,,,,
# group..... class=meter,,,,,,,,,,,,,,
# property.. voltage_A,,,,,,,,,,,,,,
# limit..... 0,,,,,,,,,,,,,,
# interval.. 0,,,,,,,,,,,,,,
# timestamp,m633,m630,m632,m650,m680,m684,m634,m645,m646,m652,m671,m675,m692,m611
2000-08-02 00:00:00 HDT,+2442.77-108.917i,+2551.84+0.0265859j,+2450.16-106.481i,+2401.78+0i,+2368.08-219.432i,+2363.4-219.799i,+275.057-15.5175j,+0+0j,+0+0j,+2353.98-214.237i,+2368.08-219.432i,+2351.55-228.229i,+2368.07-219.417i,+0+0j
2000-08-02 01:00:00 HDT,+2442.77-108.917i,+2551.84+0.0265859j,+2450.16-106.481i,+2401.78+0i,+2368.08-219.432i,+2363.4-219.799i,+275.057-15.5175j,+0+0j,+0+0j,+2353.98-214.237i,+2368.08-219.432i,+2351.55-228.229i,+2368.07-219.417i,+0+0j
2000-08-02 02:00:00 HDT,+2442.77-108.917i,+2551.84+0.0265859j,+2450.16-106.481i,+2401.78+0i,+2368.08-219.432i,+2363.4-219.799i,+275.057-15.5175j,+0+0j,+0+0j,+2353.98-214.237i,+2368.08-219.432i,+2351.55-228.229i,+2368.07-219.417i,+0+0j
2000-08-02 03:00:00 HDT,+2442.77-108.917i,+2551.84+0.0265859j,+2450.16-106.481i,+2401.78+0i,+2368.08-219.432i,+2363.4-219.799i,+275.057-15.5175j,+0+0j,+0+0j,+2353.98-214.237i,+2368.08-219.432i,+2351.55-228.229i,+2368.07-219.417i,+0+0j
2000-08-02 04:00:00 HDT,+2442.77-108.917i,+2551.84+0.0265859j,+2450.16-106.481i,+2401.78+0i,+2368.08-219.432i,+2363.4-219.799i,+275.057-15.5175j,+0+0j,+0+0j,+2353.98-214.237i,+2368.08-219.432i,+2351.55-228.229i,+2368.07-219.417i,+0+0j
2000-08-02 05:00:00 HDT,+2442.77-108.917i,+2551.84+0.0265859j,+2450.16-106.481i,+2401.78+0i,+2368.08-219.432i,+2363.4-219.799i,+275.057-15.5175j,+0+0j,+0+0j,+2353.98-214.237i,+2368.08-219.432i,+2351.55-228.229i,+2368.07-219.417i,+0+0j
2000-08-02 06:00:00 HDT,+2451.4-96.5735i,+2551.84+0.0253957j,+2458.75-94.1144i,+2401.78+0i,+2388.69-188.292i,+2380.5-195.109i,+276.093-14.1187j,+0+0j,+0+0j,+2370.96-189.616i,+2385.23-194.669i,+2368.96-203.652i,+2385.22-194.654i,+0+0j
2000-08-02 07:00:00 HDT,+2476.35-59.706i,+2551.86+0.0222255j,+2483.58-57.18i,+2401.78+0i,+2448.25-95.3506i,+2429.95-121.369i,+279.085-9.93816j,+0+0j,+0+0j,+2420.05-116.087i,+2434.81-120.711i,+2419.28-130.211i,+2434.8-120.697i,+0+0j
2000-08-02 08:00:00 HDT,+2486.48-41.1446i,+2551.87+0.0219522j,+2493.67-38.5837i,+2401.78+0i,+2472.3-48.4699i,+2450.05-84.2364i,+280.306-7.83449j,+0+0j,+0+0j,+2440-79.0695i,+2454.96-83.4665i,+2439.77-93.2168i,+2454.95-83.453i,+0+0j
2000-08-02 09:00:00 HDT,+2514.7+6.52061i,+2551.89+0.0199055j,+2521.75+9.1629i,+2401.78+0i,+2539.53+71.5945i,+2506+11.0924i,+283.699-2.42469j,+0+0j,+0+0j,+2495.53+15.9718i,+2511.07+12.1465i,+2496.79+1.82051i,+2511.06+12.1592i,+0+0j
2000-08-02 10:00:00 HDT,+2536.17+51.901i,+2551.92+0.0211533j,+2543.1+54.621i,+2401.78+0i,+2590.31+186.024i,+2548.61+101.848i,+286.293+2.72521j,+0+0j,+0+0j,+2537.79+106.433i,+2553.8+103.178i,+2540.31+92.3369i,+2553.79+103.19i,+0+0j
2000-08-02 11:00:00 HDT,+2534.38+58.5382i,+2551.92+0.0244573j,+2541.31+61.2724i,+2401.78+0i,+2585.54+202.994i,+2545.09+115.089i,+286.09+3.47222j,+0+0j,+0+0j,+2534.25+119.612i,+2550.27+116.465i,+2536.81+105.512i,+2550.26+116.477i,+0+0j
2000-08-02 12:00:00 HDT,+2586.52+159.66i,+2551.97+0.0243588j,+2593.17+162.535i,+2401.78+0i,+2709.65+456.944i,+2648.57+317.236i,+292.38+14.9754j,+0+0j,+0+0j,+2636.91+321.119i,+2654.04+319.222i,+2642.46+307.395i,+2654.03+319.232i,+0+0j
2000-08-02 13:00:00 HDT,+2564.21+142.559i,+2551.95+0.0348695j,+2570.93+145.424i,+2401.78+0i,+2654.99+414.849i,+2604.39+282.908i,+289.726+13.0082j,+0+0j,+0+0j,+2592.97+286.847i,+2609.73+284.818i,+2597.63+272.921i,+2609.72+284.829i,+0+0j
2000-08-02 14:00:00 HDT,+2568.38+146.513i,+2551.96+0.033561j,+2575.08+149.364i,+2401.78+0i,+2665.24+424.412i,+2612.7+290.677i,+290.223+13.4616j,+0+0j,+0+0j,+2601.24+294.6i,+2618.08+292.61i,+2606.12+280.72i,+2618.07+292.621i,+0+0j
2000-08-02 15:00:00 HDT,+2554.64+111.261i,+2551.94+0.0328987j,+2561.43+114.062i,+2401.78+0i,+2632.81+335.96i,+2585.42+220.198i,+288.553+9.45634j,+0+0j,+0+0j,+2574.2+224.362i,+2590.71+221.927i,+2578.14+210.293i,+2590.7+221.938i,+0+0j
